,Adcyap1r1
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,3.0
8,0.0
9,1.0
10,1.0
11,0.0
12,0.0
13,1.0
14,4.0
15,0.0
16,2.0
17,0.0
18,0.0
19,3.0
20,2.0
21,0.0
22,6.0
23,2.0
24,7.0
25,4.0
26,5.0
27,6.0
28,0.0
29,5.0
30,0.0
31,1.0
32,1.0
33,0.0
34,1.0
35,1.0
36,1.0
37,0.0
38,1.0
39,3.0
40,7.0
41,0.0
42,1.0
43,0.0
44,4.0
45,2.0
46,0.0
47,1.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,2.0
55,2.0
56,7.0
57,1.0
58,0.0
59,6.0
60,8.0
61,1.0
62,0.0
63,0.0
64,3.0
65,4.0
66,2.0
67,5.0
68,2.0
69,2.0
70,0.0
71,0.0
72,0.0
73,1.0
74,6.0
75,0.0
76,5.0
77,0.0
78,0.0
79,3.0
80,5.0
81,1.0
82,0.0
83,0.0
84,5.0
85,3.0
86,0.0
87,4.0
88,3.0
89,2.0
90,1.0
91,1.0
92,1.0
93,1.0
94,0.0
95,2.0
96,0.0
97,0.0
98,2.0
99,0.0
100,0.0
101,0.0
102,3.0
103,8.0
104,2.0
105,0.0
106,0.0
107,4.0
108,0.0
109,3.0
110,0.0
111,0.0
112,6.0
113,1.0
114,8.0
115,2.0
116,0.0
117,5.0
118,4.0
119,5.0
120,1.0
121,3.0
122,1.0
123,2.0
124,0.0
125,0.0
126,0.0
127,12.0
128,0.0
129,4.0
130,0.0
131,2.0
132,1.0
133,1.0
134,3.0
135,6.0
136,1.0
137,0.0
138,0.0
139,1.0
140,11.0
141,3.0
142,2.0
143,4.0
144,1.0
145,6.0
146,5.0
147,0.0
148,3.0
149,1.0
150,6.0
151,0.0
152,9.0
153,5.0
154,0.0
155,3.0
156,1.0
157,7.0
158,0.0
159,8.0
160,2.0
161,2.0
162,0.0
163,2.0
164,0.0
165,5.0
166,0.0
167,1.0
168,10.0
169,0.0
170,3.0
171,0.0
172,0.0
173,5.0
174,5.0
175,1.0
176,7.0
177,0.0
178,4.0
179,3.0
180,5.0
181,1.0
182,5.0
183,1.0
184,4.0
185,0.0
186,6.0
187,2.0
188,5.0
189,5.0
190,0.0
191,5.0
192,0.0
193,2.0
194,7.0
195,0.0
196,1.0
197,2.0
198,1.0
199,0.0
200,4.0
201,1.0
202,4.0
203,4.0
204,0.0
205,0.0
206,13.0
207,6.0
208,2.0
209,1.0
210,1.0
211,3.0
212,4.0
213,1.0
214,3.0
215,0.0
216,0.0
217,0.0
218,4.0
219,0.0
220,0.0
221,1.0
222,2.0
223,2.0
224,0.0
225,7.0
226,3.0
227,2.0
228,5.0
229,2.0
230,1.0
231,2.0
232,5.0
233,5.0
234,13.0
235,0.0
236,0.0
237,1.0
238,9.0
239,2.0
240,6.0
241,0.0
242,2.0
243,0.0
244,3.0
245,1.0
246,0.0
247,2.0
248,0.0
249,3.0
250,0.0
251,8.0
252,7.0
253,2.0
254,3.0
255,0.0
256,0.0
257,2.0
258,2.0
259,3.0
260,2.0
261,3.0
262,5.0
263,2.0
264,4.0
265,0.0
266,5.0
267,4.0
268,1.0
269,3.0
270,0.0
271,1.0
272,1.0
273,5.0
274,6.0
275,3.0
276,6.0
277,5.0
278,2.0
279,2.0
280,11.0
281,1.0
282,5.0
283,1.0
284,1.0
285,2.0
286,0.0
287,1.0
288,2.0
289,2.0
290,2.0
291,2.0
292,1.0
293,1.0
294,0.0
295,4.0
296,0.0
297,0.0
298,4.0
299,1.0
300,0.0
301,15.0
302,1.0
303,0.0
304,5.0
305,7.0
306,5.0
307,0.0
308,0.0
309,0.0
310,1.0
311,5.0
312,5.0
313,0.0
314,10.0
315,1.0
316,2.0
317,0.0
318,8.0
319,0.0
320,1.0
321,4.0
322,2.0
323,4.0
324,2.0
325,9.0
326,4.0
327,2.0
328,0.0
329,1.0
330,1.0
331,5.0
332,1.0
333,3.0
334,5.0
335,5.0
336,1.0
337,3.0
338,2.0
339,2.0
340,2.0
341,5.0
342,0.0
343,3.0
344,0.0
345,14.0
346,1.0
347,0.0
348,1.0
349,5.0
350,3.0
351,6.0
352,4.0
353,3.0
354,0.0
355,9.0
356,4.0
357,4.0
358,2.0
359,1.0
360,6.0
361,4.0
362,0.0
363,9.0
364,4.0
365,8.0
366,0.0
367,0.0
368,6.0
369,2.0
370,0.0
371,1.0
372,0.0
373,1.0
374,1.0
375,1.0
376,4.0
377,7.0
378,1.0
379,7.0
380,11.0
381,5.0
382,0.0
383,13.0
384,8.0
385,2.0
386,3.0
387,1.0
388,2.0
389,2.0
390,0.0
391,1.0
392,0.0
393,1.0
394,6.0
395,4.0
396,0.0
397,5.0
398,0.0
399,11.0
400,2.0
401,0.0
402,3.0
403,0.0
404,3.0
405,0.0
406,5.0
407,11.0
408,5.0
409,0.0
410,1.0
411,1.0
412,3.0
413,1.0
414,2.0
415,1.0
416,0.0
417,4.0
418,1.0
419,3.0
420,1.0
421,3.0
422,1.0
423,2.0
424,11.0
425,0.0
426,4.0
427,1.0
428,1.0
429,2.0
430,0.0
431,4.0
432,10.0
433,12.0
434,0.0
435,0.0
436,7.0
437,2.0
438,20.0
439,0.0
440,7.0
441,3.0
442,3.0
443,2.0
444,7.0
445,2.0
446,3.0
447,8.0
448,7.0
449,0.0
450,1.0
451,0.0
452,2.0
453,0.0
454,0.0
455,9.0
456,0.0
457,1.0
458,1.0
459,0.0
460,4.0
461,9.0
462,2.0
463,4.0
464,3.0
465,1.0
466,2.0
467,7.0
468,4.0
469,3.0
470,4.0
471,3.0
472,5.0
473,1.0
474,2.0
475,0.0
476,3.0
477,0.0
478,1.0
479,0.0
480,5.0
481,7.0
482,1.0
483,4.0
484,7.0
485,1.0
486,0.0
487,0.0
488,0.0
489,4.0
490,0.0
491,6.0
492,0.0
493,6.0
494,1.0
495,12.0
496,1.0
497,1.0
498,4.0
499,3.0
500,1.0
501,6.0
502,4.0
503,3.0
504,2.0
505,7.0
506,5.0
507,1.0
508,1.0
509,0.0
510,1.0
511,0.0
512,10.0
513,4.0
514,0.0
515,1.0
516,4.0
517,4.0
518,6.0
519,6.0
520,10.0
521,2.0
522,5.0
523,7.0
524,1.0
525,1.0
526,0.0
527,2.0
528,8.0
529,1.0
530,8.0
531,1.0
532,5.0
533,6.0
534,5.0
535,1.0
536,2.0
537,3.0
538,2.0
539,13.0
540,2.0
541,6.0
542,2.0
543,2.0
544,7.0
545,6.0
546,10.0
547,1.0
548,0.0
549,0.0
550,3.0
551,5.0
552,2.0
553,12.0
554,3.0
555,0.0
556,1.0
557,2.0
558,1.0
559,1.0
560,1.0
561,3.0
562,6.0
563,4.0
564,7.0
565,1.0
566,1.0
567,2.0
568,2.0
569,1.0
570,1.0
