,Adgrl1
0,1.0
1,0.0
2,0.0
3,0.0
4,1.0
5,1.0
6,0.0
7,1.0
8,1.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,3.0
15,0.0
16,1.0
17,0.0
18,0.0
19,0.0
20,2.0
21,0.0
22,1.0
23,0.0
24,2.0
25,1.0
26,1.0
27,1.0
28,0.0
29,1.0
30,0.0
31,1.0
32,2.0
33,2.0
34,4.0
35,1.0
36,1.0
37,3.0
38,2.0
39,4.0
40,1.0
41,2.0
42,1.0
43,0.0
44,6.0
45,0.0
46,0.0
47,0.0
48,2.0
49,0.0
50,2.0
51,1.0
52,1.0
53,0.0
54,0.0
55,0.0
56,3.0
57,0.0
58,0.0
59,1.0
60,2.0
61,2.0
62,3.0
63,1.0
64,2.0
65,2.0
66,0.0
67,1.0
68,1.0
69,1.0
70,3.0
71,3.0
72,0.0
73,0.0
74,6.0
75,0.0
76,1.0
77,0.0
78,0.0
79,4.0
80,5.0
81,0.0
82,1.0
83,1.0
84,3.0
85,0.0
86,0.0
87,1.0
88,1.0
89,3.0
90,3.0
91,2.0
92,2.0
93,0.0
94,1.0
95,3.0
96,0.0
97,0.0
98,1.0
99,0.0
100,1.0
101,0.0
102,2.0
103,7.0
104,2.0
105,0.0
106,0.0
107,0.0
108,1.0
109,1.0
110,1.0
111,0.0
112,1.0
113,1.0
114,1.0
115,1.0
116,0.0
117,9.0
118,1.0
119,1.0
120,1.0
121,1.0
122,2.0
123,1.0
124,1.0
125,3.0
126,1.0
127,1.0
128,1.0
129,2.0
130,1.0
131,0.0
132,1.0
133,0.0
134,4.0
135,2.0
136,0.0
137,0.0
138,0.0
139,0.0
140,3.0
141,4.0
142,5.0
143,2.0
144,0.0
145,9.0
146,3.0
147,0.0
148,0.0
149,1.0
150,10.0
151,0.0
152,1.0
153,13.0
154,3.0
155,6.0
156,5.0
157,8.0
158,4.0
159,7.0
160,0.0
161,1.0
162,2.0
163,1.0
164,1.0
165,8.0
166,0.0
167,1.0
168,6.0
169,1.0
170,4.0
171,1.0
172,1.0
173,9.0
174,16.0
175,1.0
176,4.0
177,0.0
178,2.0
179,5.0
180,4.0
181,3.0
182,0.0
183,0.0
184,5.0
185,2.0
186,9.0
187,0.0
188,13.0
189,2.0
190,0.0
191,1.0
192,0.0
193,7.0
194,5.0
195,0.0
196,3.0
197,0.0
198,4.0
199,3.0
200,1.0
201,1.0
202,2.0
203,12.0
204,0.0
205,1.0
206,6.0
207,7.0
208,6.0
209,1.0
210,1.0
211,4.0
212,1.0
213,1.0
214,0.0
215,3.0
216,1.0
217,3.0
218,9.0
219,1.0
220,5.0
221,0.0
222,12.0
223,0.0
224,1.0
225,10.0
226,1.0
227,0.0
228,7.0
229,3.0
230,0.0
231,9.0
232,6.0
233,13.0
234,4.0
235,1.0
236,0.0
237,1.0
238,8.0
239,1.0
240,4.0
241,1.0
242,2.0
243,0.0
244,10.0
245,0.0
246,0.0
247,3.0
248,2.0
249,7.0
250,1.0
251,7.0
252,8.0
253,1.0
254,2.0
255,0.0
256,0.0
257,1.0
258,9.0
259,1.0
260,8.0
261,12.0
262,8.0
263,3.0
264,3.0
265,6.0
266,3.0
267,3.0
268,7.0
269,3.0
270,0.0
271,1.0
272,2.0
273,0.0
274,11.0
275,10.0
276,2.0
277,10.0
278,5.0
279,6.0
280,11.0
281,2.0
282,11.0
283,0.0
284,6.0
285,4.0
286,4.0
287,1.0
288,2.0
289,7.0
290,1.0
291,1.0
292,6.0
293,5.0
294,7.0
295,5.0
296,1.0
297,2.0
298,2.0
299,1.0
300,0.0
301,4.0
302,0.0
303,7.0
304,2.0
305,2.0
306,2.0
307,8.0
308,0.0
309,1.0
310,4.0
311,3.0
312,6.0
313,0.0
314,11.0
315,2.0
316,1.0
317,2.0
318,6.0
319,0.0
320,5.0
321,15.0
322,2.0
323,4.0
324,2.0
325,0.0
326,3.0
327,1.0
328,1.0
329,1.0
330,5.0
331,8.0
332,5.0
333,6.0
334,5.0
335,1.0
336,0.0
337,1.0
338,6.0
339,2.0
340,5.0
341,19.0
342,1.0
343,0.0
344,0.0
345,10.0
346,1.0
347,7.0
348,1.0
349,2.0
350,2.0
351,1.0
352,5.0
353,10.0
354,0.0
355,16.0
356,2.0
357,11.0
358,6.0
359,9.0
360,4.0
361,5.0
362,4.0
363,15.0
364,1.0
365,13.0
366,3.0
367,3.0
368,9.0
369,5.0
370,1.0
371,5.0
372,0.0
373,5.0
374,4.0
375,1.0
376,12.0
377,11.0
378,13.0
379,10.0
380,5.0
381,10.0
382,0.0
383,7.0
384,4.0
385,1.0
386,8.0
387,2.0
388,1.0
389,3.0
390,0.0
391,1.0
392,1.0
393,0.0
394,7.0
395,9.0
396,0.0
397,7.0
398,0.0
399,6.0
