,Adora1
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,1.0
14,0.0
15,0.0
16,1.0
17,2.0
18,0.0
19,0.0
20,0.0
21,0.0
22,2.0
23,0.0
24,0.0
25,0.0
26,0.0
27,2.0
28,0.0
29,0.0
30,0.0
31,1.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,2.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,1.0
57,0.0
58,0.0
59,1.0
60,1.0
61,0.0
62,0.0
63,0.0
64,0.0
65,1.0
66,0.0
67,1.0
68,2.0
69,1.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,1.0
79,3.0
80,1.0
81,0.0
82,0.0
83,0.0
84,3.0
85,0.0
86,0.0
87,1.0
88,1.0
89,0.0
90,1.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,2.0
100,0.0
101,0.0
102,0.0
103,0.0
104,2.0
105,0.0
106,1.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,2.0
120,0.0
121,0.0
122,0.0
123,4.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,1.0
130,0.0
131,1.0
132,1.0
133,1.0
134,0.0
135,2.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,1.0
142,1.0
143,0.0
144,0.0
145,0.0
146,1.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,1.0
153,0.0
154,0.0
155,1.0
156,0.0
157,1.0
158,0.0
159,2.0
160,0.0
161,0.0
162,1.0
163,0.0
164,0.0
165,6.0
166,0.0
167,0.0
168,4.0
169,0.0
170,0.0
171,0.0
172,1.0
173,0.0
174,0.0
175,0.0
176,1.0
177,0.0
178,0.0
179,0.0
180,0.0
181,4.0
182,1.0
183,0.0
184,0.0
185,0.0
186,0.0
187,1.0
188,1.0
189,3.0
190,0.0
191,0.0
192,0.0
193,2.0
194,1.0
195,1.0
196,1.0
197,0.0
198,1.0
199,1.0
200,0.0
201,0.0
202,0.0
203,4.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,2.0
212,0.0
213,2.0
214,1.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,1.0
221,0.0
222,2.0
223,0.0
224,0.0
225,1.0
226,0.0
227,1.0
228,3.0
229,0.0
230,0.0
231,3.0
232,0.0
233,5.0
234,0.0
235,3.0
236,0.0
237,2.0
238,1.0
239,0.0
240,3.0
241,0.0
242,1.0
243,0.0
244,1.0
245,0.0
246,0.0
247,2.0
248,0.0
249,6.0
250,0.0
251,0.0
252,0.0
253,1.0
254,0.0
255,1.0
256,0.0
257,3.0
258,4.0
259,0.0
260,0.0
261,1.0
262,6.0
263,0.0
264,2.0
265,1.0
266,1.0
267,0.0
268,1.0
269,2.0
270,0.0
271,1.0
272,0.0
273,1.0
274,3.0
275,1.0
276,5.0
277,1.0
278,0.0
279,4.0
280,2.0
281,0.0
282,0.0
283,1.0
284,1.0
285,8.0
286,0.0
287,1.0
288,0.0
289,3.0
290,1.0
291,2.0
292,3.0
293,3.0
294,3.0
295,4.0
296,1.0
297,0.0
298,1.0
299,0.0
300,0.0
301,0.0
302,0.0
303,2.0
304,0.0
305,3.0
306,1.0
307,1.0
308,0.0
309,0.0
310,3.0
311,0.0
312,1.0
313,0.0
314,8.0
315,1.0
316,0.0
317,6.0
318,1.0
319,1.0
320,2.0
321,1.0
322,0.0
323,1.0
324,0.0
325,0.0
326,4.0
327,0.0
328,0.0
329,1.0
330,2.0
331,0.0
332,0.0
333,2.0
334,4.0
335,2.0
336,1.0
337,0.0
338,2.0
339,0.0
340,4.0
341,1.0
342,0.0
343,1.0
344,0.0
345,0.0
346,1.0
347,1.0
348,1.0
349,0.0
350,1.0
351,0.0
352,1.0
353,3.0
354,0.0
355,5.0
356,4.0
357,4.0
358,0.0
359,1.0
360,4.0
361,3.0
362,1.0
363,5.0
364,0.0
365,6.0
366,0.0
367,2.0
368,0.0
369,2.0
370,0.0
371,4.0
372,1.0
373,0.0
374,0.0
375,1.0
376,1.0
377,1.0
378,5.0
379,1.0
380,2.0
381,0.0
382,0.0
383,6.0
384,0.0
385,0.0
386,3.0
387,0.0
388,1.0
389,0.0
390,1.0
391,0.0
392,0.0
393,1.0
394,1.0
395,3.0
396,0.0
397,4.0
398,0.0
399,0.0
400,4.0
401,0.0
402,2.0
403,0.0
404,0.0
405,0.0
406,2.0
407,4.0
408,0.0
409,0.0
410,0.0
411,2.0
412,0.0
413,0.0
414,1.0
415,0.0
416,1.0
417,0.0
418,0.0
419,1.0
420,1.0
421,1.0
422,0.0
423,0.0
424,1.0
425,0.0
426,3.0
427,2.0
428,0.0
429,4.0
430,2.0
431,2.0
432,0.0
433,0.0
434,3.0
435,0.0
436,2.0
437,0.0
438,1.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,1.0
445,3.0
446,0.0
447,3.0
448,1.0
449,0.0
450,2.0
451,0.0
452,1.0
453,1.0
454,0.0
455,0.0
456,0.0
457,0.0
458,1.0
459,0.0
460,3.0
461,7.0
462,0.0
463,6.0
464,2.0
465,3.0
466,0.0
467,2.0
468,2.0
469,0.0
470,1.0
471,4.0
472,2.0
473,0.0
474,4.0
475,0.0
476,1.0
477,1.0
478,0.0
479,4.0
480,2.0
481,5.0
482,0.0
483,0.0
484,1.0
485,0.0
486,1.0
487,0.0
488,0.0
489,2.0
490,2.0
491,3.0
492,0.0
493,1.0
494,6.0
495,4.0
496,0.0
497,1.0
498,1.0
499,3.0
500,0.0
501,0.0
502,0.0
503,1.0
504,0.0
505,4.0
506,9.0
507,1.0
508,0.0
509,0.0
510,0.0
511,0.0
512,3.0
513,5.0
514,0.0
515,0.0
516,5.0
517,1.0
518,1.0
519,0.0
520,2.0
521,0.0
522,0.0
523,2.0
524,0.0
525,1.0
526,0.0
527,1.0
528,1.0
529,0.0
530,0.0
531,0.0
532,2.0
533,2.0
534,3.0
535,0.0
536,5.0
537,0.0
538,2.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,3.0
545,2.0
546,3.0
547,0.0
548,1.0
549,0.0
550,1.0
551,1.0
552,2.0
553,0.0
554,4.0
555,3.0
556,2.0
557,1.0
558,0.0
559,0.0
560,0.0
561,5.0
562,3.0
563,2.0
564,1.0
565,2.0
566,0.0
567,1.0
568,2.0
569,0.0
570,0.0
571,5.0
