,Baiap2
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,2.0
8,2.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,1.0
21,0.0
22,0.0
23,1.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,1.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,1.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,1.0
47,0.0
48,0.0
49,0.0
50,0.0
51,1.0
52,1.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,1.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,1.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,1.0
103,0.0
104,0.0
105,0.0
106,0.0
107,1.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,1.0
114,0.0
115,0.0
116,0.0
117,2.0
118,0.0
119,1.0
120,1.0
121,1.0
122,2.0
123,1.0
124,1.0
125,1.0
126,0.0
127,0.0
128,0.0
129,1.0
130,0.0
131,1.0
132,1.0
133,5.0
134,21.0
135,0.0
136,3.0
137,0.0
138,1.0
139,2.0
140,0.0
141,33.0
142,14.0
143,20.0
144,0.0
145,13.0
146,0.0
147,0.0
148,0.0
149,0.0
150,25.0
151,1.0
152,0.0
153,17.0
154,1.0
155,27.0
156,7.0
157,13.0
158,10.0
159,17.0
160,2.0
161,0.0
162,3.0
163,0.0
164,0.0
165,11.0
166,0.0
167,3.0
168,18.0
169,1.0
170,18.0
171,1.0
172,1.0
173,18.0
174,11.0
175,0.0
176,12.0
177,0.0
178,0.0
179,14.0
180,0.0
181,19.0
182,0.0
183,0.0
184,11.0
185,7.0
186,1.0
187,1.0
188,27.0
189,0.0
190,0.0
191,0.0
192,2.0
193,32.0
194,0.0
195,1.0
196,1.0
197,0.0
198,2.0
199,8.0
200,0.0
201,5.0
202,0.0
203,27.0
204,2.0
205,0.0
206,0.0
207,11.0
208,4.0
209,2.0
210,0.0
211,22.0
212,0.0
213,6.0
214,0.0
215,3.0
216,1.0
217,3.0
218,12.0
219,0.0
220,5.0
221,0.0
222,17.0
223,0.0
224,0.0
225,20.0
226,1.0
227,0.0
228,10.0
229,9.0
230,3.0
231,23.0
232,5.0
233,24.0
234,2.0
235,8.0
236,4.0
237,6.0
238,27.0
239,2.0
240,13.0
241,0.0
242,18.0
243,1.0
244,15.0
245,1.0
246,0.0
247,0.0
248,3.0
249,10.0
250,0.0
251,0.0
252,0.0
253,1.0
254,0.0
255,0.0
256,1.0
257,6.0
258,12.0
259,0.0
260,13.0
261,14.0
262,19.0
263,0.0
264,14.0
265,6.0
266,1.0
267,9.0
268,5.0
269,7.0
270,2.0
271,0.0
272,2.0
273,19.0
274,9.0
275,10.0
276,1.0
277,17.0
278,6.0
279,30.0
280,24.0
281,2.0
282,15.0
283,2.0
284,12.0
285,19.0
286,1.0
287,2.0
288,5.0
289,9.0
290,1.0
291,0.0
292,10.0
293,14.0
294,10.0
295,14.0
296,2.0
297,2.0
298,3.0
299,0.0
300,1.0
301,8.0
302,0.0
303,12.0
304,2.0
305,0.0
306,2.0
307,6.0
308,0.0
309,0.0
310,20.0
311,3.0
312,25.0
313,0.0
314,27.0
315,1.0
316,0.0
317,6.0
318,22.0
319,1.0
320,11.0
321,21.0
322,1.0
323,7.0
324,0.0
325,0.0
326,5.0
327,4.0
328,3.0
329,0.0
330,7.0
331,14.0
332,3.0
333,8.0
334,12.0
335,0.0
336,1.0
337,0.0
338,12.0
339,3.0
340,6.0
341,15.0
342,2.0
343,1.0
344,1.0
345,0.0
346,0.0
347,5.0
348,3.0
349,4.0
350,0.0
351,1.0
352,11.0
353,25.0
354,1.0
355,38.0
356,8.0
357,7.0
358,7.0
359,13.0
360,23.0
361,7.0
362,3.0
363,22.0
364,0.0
365,28.0
366,0.0
367,6.0
368,15.0
369,5.0
370,2.0
371,18.0
372,0.0
373,12.0
374,10.0
375,0.0
376,27.0
377,25.0
378,15.0
379,13.0
380,2.0
381,27.0
382,1.0
383,0.0
384,9.0
385,8.0
386,16.0
387,0.0
388,5.0
389,8.0
390,4.0
391,0.0
392,0.0
393,0.0
394,11.0
395,13.0
396,0.0
397,21.0
398,0.0
399,0.0
400,19.0
401,0.0
402,6.0
403,2.0
404,3.0
405,0.0
406,8.0
407,7.0
408,5.0
409,0.0
410,0.0
411,5.0
412,4.0
413,1.0
414,12.0
415,12.0
416,1.0
417,13.0
418,0.0
419,1.0
420,9.0
421,10.0
422,12.0
423,0.0
424,0.0
425,0.0
426,9.0
427,9.0
428,6.0
429,15.0
430,0.0
431,23.0
432,3.0
433,1.0
434,24.0
435,1.0
436,22.0
437,6.0
438,2.0
439,2.0
440,8.0
441,12.0
442,0.0
443,0.0
444,19.0
445,10.0
446,8.0
447,17.0
448,0.0
449,3.0
450,11.0
451,0.0
452,1.0
453,2.0
454,0.0
455,4.0
456,2.0
457,1.0
458,1.0
459,0.0
460,11.0
461,24.0
462,5.0
463,17.0
464,16.0
465,14.0
466,0.0
467,16.0
468,6.0
469,0.0
470,12.0
471,5.0
472,11.0
473,3.0
474,22.0
475,3.0
476,10.0
477,6.0
478,3.0
479,7.0
480,21.0
481,17.0
482,11.0
483,0.0
484,11.0
485,0.0
486,1.0
487,3.0
488,8.0
489,0.0
490,12.0
491,15.0
492,0.0
493,12.0
494,17.0
495,20.0
496,11.0
497,1.0
498,6.0
499,14.0
500,4.0
501,11.0
502,0.0
503,23.0
504,2.0
505,22.0
506,16.0
507,1.0
508,4.0
509,0.0
510,4.0
511,0.0
512,17.0
513,1.0
514,0.0
515,0.0
516,16.0
517,0.0
518,14.0
519,0.0
520,15.0
521,0.0
522,0.0
523,4.0
524,1.0
525,6.0
526,0.0
527,4.0
528,13.0
529,1.0
530,0.0
531,3.0
532,23.0
533,14.0
534,10.0
535,1.0
536,7.0
537,13.0
538,2.0
539,0.0
540,3.0
541,0.0
542,4.0
543,1.0
544,9.0
545,19.0
546,22.0
547,0.0
548,0.0
549,0.0
550,19.0
551,9.0
552,12.0
553,13.0
554,11.0
555,5.0
556,11.0
557,9.0
558,0.0
559,1.0
560,3.0
561,15.0
562,11.0
563,16.0
564,3.0
565,16.0
566,1.0
567,3.0
568,3.0
569,5.0
570,1.0
571,8.0
