,Celsr2
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,2.0
6,0.0
7,2.0
8,0.0
9,0.0
10,0.0
11,1.0
12,0.0
13,0.0
14,1.0
15,0.0
16,0.0
17,0.0
18,0.0
19,1.0
20,0.0
21,0.0
22,3.0
23,0.0
24,0.0
25,0.0
26,0.0
27,1.0
28,0.0
29,0.0
30,0.0
31,0.0
32,1.0
33,0.0
34,2.0
35,1.0
36,2.0
37,0.0
38,0.0
39,1.0
40,0.0
41,0.0
42,0.0
43,1.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,1.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,1.0
56,0.0
57,0.0
58,0.0
59,2.0
60,2.0
61,0.0
62,0.0
63,0.0
64,4.0
65,2.0
66,0.0
67,1.0
68,1.0
69,2.0
70,1.0
71,0.0
72,0.0
73,1.0
74,6.0
75,0.0
76,1.0
77,0.0
78,0.0
79,0.0
80,4.0
81,1.0
82,0.0
83,1.0
84,3.0
85,0.0
86,0.0
87,0.0
88,0.0
89,2.0
90,0.0
91,0.0
92,0.0
93,0.0
94,1.0
95,0.0
96,2.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,9.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,6.0
118,1.0
119,0.0
120,1.0
121,1.0
122,0.0
123,0.0
124,0.0
125,0.0
126,1.0
127,9.0
128,1.0
129,0.0
130,0.0
131,0.0
132,0.0
133,1.0
134,11.0
135,2.0
136,2.0
137,0.0
138,0.0
139,0.0
140,1.0
141,13.0
142,9.0
143,11.0
144,0.0
145,5.0
146,1.0
147,0.0
148,3.0
149,0.0
150,5.0
151,0.0
152,0.0
153,15.0
154,2.0
155,8.0
156,7.0
157,8.0
158,8.0
159,7.0
160,3.0
161,0.0
162,2.0
163,1.0
164,0.0
165,7.0
166,0.0
167,0.0
168,14.0
169,0.0
170,3.0
171,0.0
172,3.0
173,4.0
174,8.0
175,0.0
176,6.0
177,0.0
178,2.0
179,1.0
180,5.0
181,6.0
182,1.0
183,0.0
184,7.0
185,0.0
186,10.0
187,2.0
188,17.0
189,0.0
190,0.0
191,0.0
192,0.0
193,13.0
194,4.0
195,1.0
196,1.0
197,0.0
198,2.0
199,4.0
200,1.0
201,3.0
202,1.0
203,22.0
204,0.0
205,0.0
206,4.0
207,7.0
208,4.0
209,0.0
210,0.0
211,6.0
212,2.0
213,4.0
214,0.0
215,0.0
216,0.0
217,1.0
218,5.0
219,1.0
220,8.0
221,0.0
222,6.0
223,0.0
224,0.0
225,10.0
226,0.0
227,1.0
228,6.0
229,2.0
230,1.0
231,7.0
232,15.0
233,12.0
234,6.0
235,6.0
236,2.0
237,2.0
238,12.0
239,0.0
240,14.0
241,0.0
242,9.0
243,1.0
244,9.0
245,0.0
246,0.0
247,0.0
248,2.0
249,11.0
250,0.0
251,8.0
252,5.0
253,0.0
254,1.0
255,0.0
256,0.0
257,5.0
258,5.0
259,2.0
260,11.0
261,5.0
262,18.0
263,0.0
264,11.0
265,5.0
266,6.0
267,5.0
268,2.0
269,6.0
270,4.0
271,2.0
272,5.0
273,6.0
274,12.0
275,8.0
276,0.0
277,14.0
278,6.0
279,10.0
280,10.0
281,2.0
282,10.0
283,3.0
284,8.0
285,4.0
286,1.0
287,2.0
288,2.0
289,3.0
290,1.0
291,0.0
292,4.0
293,6.0
294,3.0
295,9.0
296,1.0
297,1.0
298,2.0
299,0.0
300,1.0
301,3.0
302,0.0
303,5.0
304,0.0
305,4.0
306,8.0
307,4.0
308,2.0
309,0.0
310,10.0
311,6.0
312,9.0
313,0.0
314,22.0
315,3.0
316,1.0
317,4.0
318,12.0
319,0.0
320,10.0
321,15.0
322,0.0
323,4.0
324,1.0
325,1.0
326,4.0
327,0.0
328,2.0
329,0.0
330,7.0
331,17.0
332,2.0
333,8.0
334,8.0
335,0.0
336,3.0
337,1.0
338,6.0
339,0.0
340,8.0
341,6.0
342,1.0
343,3.0
344,0.0
345,9.0
346,2.0
347,0.0
348,0.0
349,6.0
350,2.0
351,2.0
352,5.0
353,13.0
354,0.0
355,17.0
356,1.0
357,9.0
358,7.0
359,6.0
360,12.0
361,7.0
362,4.0
363,18.0
364,1.0
365,9.0
366,0.0
367,3.0
368,11.0
369,3.0
370,1.0
371,4.0
372,0.0
373,7.0
374,3.0
375,2.0
376,12.0
377,12.0
378,2.0
379,14.0
380,1.0
381,16.0
382,0.0
383,3.0
384,1.0
385,2.0
386,10.0
387,1.0
388,1.0
389,3.0
390,0.0
391,0.0
392,0.0
393,0.0
394,11.0
395,6.0
396,0.0
397,9.0
398,0.0
399,10.0
400,10.0
401,0.0
402,12.0
403,0.0
404,4.0
405,0.0
406,5.0
407,3.0
408,4.0
409,1.0
410,0.0
411,6.0
412,1.0
413,0.0
414,12.0
415,7.0
416,2.0
417,5.0
418,0.0
419,0.0
420,1.0
421,8.0
422,3.0
423,1.0
424,0.0
425,0.0
426,8.0
427,7.0
428,3.0
429,13.0
430,0.0
431,14.0
432,3.0
433,2.0
434,18.0
435,1.0
436,9.0
437,3.0
438,3.0
439,0.0
440,2.0
441,7.0
442,0.0
443,0.0
444,12.0
445,7.0
446,6.0
447,8.0
448,2.0
449,0.0
450,7.0
451,0.0
452,0.0
453,1.0
454,1.0
455,5.0
456,0.0
457,0.0
458,0.0
459,0.0
460,6.0
461,11.0
462,1.0
463,17.0
464,10.0
465,3.0
466,1.0
467,10.0
468,5.0
469,3.0
470,10.0
471,4.0
472,7.0
473,2.0
474,6.0
475,0.0
476,2.0
477,4.0
478,0.0
479,7.0
480,9.0
481,17.0
482,7.0
483,2.0
484,5.0
485,0.0
486,2.0
487,1.0
488,5.0
489,1.0
490,8.0
491,11.0
492,0.0
493,11.0
494,10.0
495,17.0
496,4.0
497,1.0
498,5.0
499,6.0
500,3.0
501,3.0
502,4.0
503,15.0
504,3.0
505,13.0
506,19.0
507,1.0
508,3.0
509,0.0
510,3.0
511,0.0
512,9.0
513,1.0
514,0.0
515,0.0
516,9.0
517,0.0
518,16.0
519,0.0
520,3.0
521,1.0
522,0.0
523,4.0
524,0.0
525,1.0
526,0.0
527,2.0
528,13.0
529,0.0
530,5.0
531,0.0
532,5.0
533,8.0
534,5.0
535,0.0
536,9.0
537,14.0
538,0.0
539,4.0
540,2.0
541,1.0
542,1.0
543,1.0
544,16.0
545,6.0
546,16.0
547,0.0
548,0.0
549,0.0
550,9.0
551,5.0
552,8.0
553,4.0
554,9.0
555,6.0
556,7.0
557,3.0
558,0.0
559,0.0
560,1.0
561,4.0
562,10.0
563,8.0
564,3.0
565,3.0
566,0.0
567,0.0
568,0.0
569,2.0
570,0.0
571,6.0
