,Cspg5
0,0.0
1,1.0
2,1.0
3,0.0
4,0.0
5,9.0
6,12.0
7,21.0
8,2.0
9,15.0
10,1.0
11,1.0
12,2.0
13,6.0
14,25.0
15,4.0
16,16.0
17,0.0
18,1.0
19,16.0
20,4.0
21,1.0
22,23.0
23,4.0
24,37.0
25,15.0
26,17.0
27,24.0
28,3.0
29,41.0
30,5.0
31,12.0
32,5.0
33,3.0
34,3.0
35,15.0
36,4.0
37,10.0
38,7.0
39,34.0
40,29.0
41,5.0
42,2.0
43,0.0
44,42.0
45,1.0
46,3.0
47,5.0
48,6.0
49,1.0
50,18.0
51,4.0
52,2.0
53,1.0
54,16.0
55,20.0
56,26.0
57,3.0
58,1.0
59,27.0
60,28.0
61,20.0
62,3.0
63,8.0
64,9.0
65,27.0
66,15.0
67,28.0
68,18.0
69,40.0
70,3.0
71,2.0
72,6.0
73,4.0
74,15.0
75,10.0
76,25.0
77,0.0
78,1.0
79,48.0
80,20.0
81,0.0
82,4.0
83,1.0
84,30.0
85,0.0
86,0.0
87,11.0
88,22.0
89,27.0
90,4.0
91,2.0
92,3.0
93,4.0
94,1.0
95,20.0
96,6.0
97,0.0
98,8.0
99,0.0
100,12.0
101,1.0
102,15.0
103,15.0
104,31.0
105,0.0
106,4.0
107,23.0
108,3.0
109,7.0
110,3.0
111,2.0
112,19.0
113,2.0
114,21.0
115,14.0
116,3.0
117,10.0
118,12.0
119,36.0
120,16.0
121,25.0
122,7.0
123,32.0
124,3.0
125,1.0
126,2.0
127,18.0
128,0.0
129,12.0
130,6.0
131,15.0
132,2.0
133,2.0
134,7.0
135,36.0
136,2.0
137,3.0
138,1.0
139,3.0
140,5.0
141,23.0
142,8.0
143,12.0
144,0.0
145,4.0
146,32.0
147,0.0
148,14.0
149,4.0
150,5.0
151,1.0
152,17.0
153,12.0
154,1.0
155,14.0
156,13.0
157,10.0
158,5.0
159,12.0
160,3.0
161,13.0
162,5.0
163,24.0
164,0.0
165,8.0
166,4.0
167,0.0
168,53.0
169,0.0
170,10.0
171,0.0
172,0.0
173,18.0
174,16.0
175,9.0
176,10.0
177,6.0
178,10.0
179,4.0
180,5.0
181,11.0
182,15.0
183,5.0
184,16.0
185,1.0
186,14.0
187,22.0
188,16.0
189,41.0
190,2.0
191,12.0
192,2.0
193,13.0
194,8.0
195,0.0
196,3.0
197,2.0
198,6.0
199,1.0
200,36.0
201,2.0
202,29.0
203,20.0
204,1.0
205,5.0
206,16.0
207,12.0
208,6.0
209,1.0
210,4.0
211,18.0
212,36.0
213,1.0
214,10.0
215,2.0
216,0.0
217,5.0
218,8.0
219,7.0
220,8.0
221,12.0
222,25.0
223,2.0
224,0.0
225,14.0
226,9.0
227,4.0
228,8.0
229,6.0
230,1.0
231,17.0
232,10.0
233,20.0
234,8.0
235,4.0
236,1.0
237,9.0
238,10.0
239,1.0
240,21.0
241,2.0
242,14.0
243,0.0
244,20.0
245,1.0
246,0.0
247,10.0
248,6.0
249,16.0
250,2.0
251,13.0
252,8.0
253,2.0
254,18.0
255,34.0
256,0.0
257,9.0
258,8.0
259,45.0
260,14.0
261,10.0
262,26.0
263,11.0
264,10.0
265,5.0
266,11.0
267,5.0
268,7.0
269,4.0
270,0.0
271,4.0
272,2.0
273,4.0
274,21.0
275,9.0
276,51.0
277,20.0
278,10.0
279,7.0
280,13.0
281,30.0
282,11.0
283,15.0
284,19.0
285,26.0
286,2.0
287,3.0
288,7.0
289,8.0
290,3.0
291,21.0
292,12.0
293,10.0
294,7.0
295,9.0
296,1.0
297,1.0
298,2.0
299,7.0
300,1.0
301,19.0
302,0.0
303,5.0
304,9.0
305,45.0
306,13.0
307,5.0
308,0.0
309,1.0
310,21.0
311,5.0
312,11.0
313,0.0
314,33.0
315,9.0
316,3.0
317,7.0
318,16.0
319,2.0
320,15.0
321,21.0
322,5.0
323,19.0
324,27.0
325,8.0
326,10.0
327,1.0
328,5.0
329,3.0
330,8.0
331,11.0
332,2.0
333,6.0
334,14.0
335,30.0
336,2.0
337,1.0
338,11.0
339,2.0
340,11.0
341,14.0
342,1.0
343,2.0
344,1.0
345,10.0
346,5.0
347,1.0
348,0.0
349,11.0
350,2.0
351,13.0
352,20.0
353,13.0
354,2.0
355,31.0
356,5.0
357,9.0
358,14.0
359,9.0
360,13.0
361,10.0
362,7.0
363,62.0
364,2.0
365,22.0
366,7.0
367,7.0
368,18.0
369,5.0
370,3.0
371,19.0
372,9.0
373,11.0
374,11.0
375,2.0
376,35.0
377,14.0
378,11.0
379,16.0
380,79.0
381,18.0
382,4.0
383,59.0
384,29.0
385,7.0
386,21.0
387,4.0
388,19.0
389,3.0
390,0.0
391,7.0
392,0.0
393,12.0
394,24.0
395,11.0
396,3.0
397,14.0
398,5.0
399,15.0
400,16.0
401,0.0
402,14.0
403,1.0
404,13.0
405,2.0
406,11.0
407,34.0
408,13.0
409,2.0
410,3.0
411,8.0
412,4.0
413,0.0
414,34.0
415,13.0
416,3.0
417,10.0
418,1.0
419,15.0
420,7.0
421,7.0
422,7.0
423,21.0
424,28.0
425,10.0
426,18.0
427,1.0
428,4.0
429,16.0
430,6.0
431,23.0
432,6.0
433,13.0
434,18.0
435,2.0
436,11.0
437,7.0
438,23.0
439,2.0
440,15.0
441,13.0
442,3.0
443,7.0
444,19.0
445,5.0
446,11.0
447,41.0
448,24.0
449,5.0
450,16.0
451,14.0
452,19.0
453,1.0
454,1.0
455,11.0
456,1.0
457,1.0
458,6.0
459,1.0
460,15.0
461,14.0
462,3.0
463,17.0
464,7.0
465,9.0
466,2.0
467,15.0
468,3.0
469,4.0
470,9.0
471,17.0
472,10.0
473,22.0
474,17.0
475,3.0
476,9.0
477,11.0
478,6.0
479,9.0
480,12.0
481,20.0
482,6.0
483,7.0
484,9.0
485,3.0
486,3.0
487,2.0
488,6.0
489,23.0
490,16.0
491,15.0
492,1.0
493,22.0
494,16.0
495,20.0
496,8.0
497,1.0
498,7.0
499,7.0
500,3.0
501,10.0
502,9.0
503,15.0
504,13.0
505,13.0
506,33.0
507,0.0
508,0.0
509,1.0
510,4.0
511,0.0
512,9.0
513,53.0
514,2.0
515,1.0
516,20.0
517,26.0
518,24.0
519,8.0
520,11.0
521,7.0
522,20.0
523,19.0
524,2.0
525,5.0
526,3.0
527,8.0
528,20.0
529,2.0
530,25.0
531,3.0
532,11.0
533,16.0
534,10.0
535,23.0
536,17.0
537,9.0
538,2.0
539,10.0
540,5.0
541,44.0
542,1.0
543,13.0
544,21.0
545,15.0
546,21.0
547,2.0
548,5.0
549,0.0
550,15.0
551,10.0
552,19.0
553,17.0
554,31.0
555,16.0
556,7.0
557,16.0
558,1.0
559,1.0
560,3.0
561,12.0
562,16.0
563,32.0
564,6.0
565,12.0
566,11.0
567,2.0
568,0.0
569,6.0
570,5.0
571,11.0
572,2.0
573,24.0
574,18.0
575,8.0
576,10.0
577,11.0
578,13.0
579,1.0
580,0.0
581,1.0
582,11.0
583,6.0
584,5.0
585,34.0
586,7.0
587,6.0
588,16.0
589,3.0
590,6.0
591,17.0
592,8.0
593,12.0
594,15.0
595,8.0
596,5.0
597,0.0
598,8.0
599,14.0
600,12.0
601,15.0
602,24.0
603,17.0
604,2.0
605,19.0
606,27.0
607,36.0
608,3.0
609,12.0
610,4.0
611,7.0
612,4.0
613,2.0
614,11.0
615,4.0
616,1.0
617,4.0
618,26.0
619,15.0
620,1.0
621,11.0
622,26.0
623,42.0
624,8.0
625,5.0
626,4.0
627,16.0
628,14.0
629,0.0
630,1.0
631,7.0
632,8.0
633,2.0
634,24.0
635,8.0
636,3.0
637,8.0
638,38.0
