,Epha4
0,1.0
1,0.0
2,0.0
3,2.0
4,2.0
5,1.0
6,0.0
7,0.0
8,2.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,1.0
15,0.0
16,0.0
17,0.0
18,1.0
19,0.0
20,0.0
21,0.0
22,1.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,1.0
29,0.0
30,0.0
31,0.0
32,1.0
33,0.0
34,0.0
35,0.0
36,1.0
37,0.0
38,0.0
39,3.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,2.0
47,0.0
48,0.0
49,2.0
50,1.0
51,1.0
52,0.0
53,2.0
54,1.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,1.0
61,0.0
62,0.0
63,0.0
64,5.0
65,0.0
66,1.0
67,0.0
68,0.0
69,3.0
70,1.0
71,1.0
72,0.0
73,0.0
74,3.0
75,0.0
76,1.0
77,3.0
78,0.0
79,1.0
80,0.0
81,0.0
82,0.0
83,1.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,1.0
90,0.0
91,1.0
92,1.0
93,1.0
94,3.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,5.0
104,2.0
105,0.0
106,1.0
107,2.0
108,0.0
109,1.0
110,0.0
111,0.0
112,0.0
113,0.0
114,1.0
115,0.0
116,1.0
117,2.0
118,0.0
119,0.0
120,0.0
121,2.0
122,0.0
123,1.0
124,0.0
125,1.0
126,0.0
127,5.0
128,0.0
129,1.0
130,0.0
131,1.0
132,1.0
133,0.0
134,12.0
135,2.0
136,3.0
137,1.0
138,1.0
139,1.0
140,0.0
141,34.0
142,30.0
143,36.0
144,0.0
145,20.0
146,3.0
147,0.0
148,0.0
149,0.0
150,23.0
151,0.0
152,1.0
153,44.0
154,10.0
155,20.0
156,18.0
157,32.0
158,7.0
159,31.0
160,5.0
161,0.0
162,5.0
163,0.0
164,0.0
165,20.0
166,0.0
167,5.0
168,28.0
169,0.0
170,22.0
171,4.0
172,4.0
173,21.0
174,19.0
175,0.0
176,13.0
177,2.0
178,1.0
179,12.0
180,2.0
181,21.0
182,0.0
183,1.0
184,26.0
185,9.0
186,10.0
187,1.0
188,40.0
189,1.0
190,2.0
191,0.0
192,0.0
193,40.0
194,8.0
195,1.0
196,3.0
197,2.0
198,7.0
199,11.0
200,1.0
201,7.0
202,1.0
203,63.0
204,0.0
205,0.0
206,3.0
207,36.0
208,18.0
209,8.0
210,2.0
211,14.0
212,1.0
213,2.0
214,1.0
215,2.0
216,5.0
217,8.0
218,21.0
219,0.0
220,9.0
221,0.0
222,19.0
223,0.0
224,0.0
225,14.0
226,1.0
227,0.0
228,14.0
229,10.0
230,3.0
231,23.0
232,14.0
233,28.0
234,0.0
235,11.0
236,5.0
237,6.0
238,41.0
239,5.0
240,28.0
241,1.0
242,33.0
243,0.0
244,21.0
245,2.0
246,0.0
247,1.0
248,5.0
249,16.0
250,1.0
251,1.0
252,3.0
253,2.0
254,0.0
255,0.0
256,3.0
257,12.0
258,16.0
259,1.0
260,26.0
261,18.0
262,32.0
263,1.0
264,18.0
265,7.0
266,3.0
267,34.0
268,12.0
269,14.0
270,2.0
271,3.0
272,11.0
273,20.0
274,35.0
275,13.0
276,0.0
277,34.0
278,15.0
279,21.0
280,31.0
281,3.0
282,18.0
283,19.0
284,25.0
285,24.0
286,4.0
287,5.0
288,4.0
289,17.0
290,4.0
291,1.0
292,31.0
293,26.0
294,8.0
295,25.0
296,3.0
297,1.0
298,4.0
299,1.0
300,1.0
301,13.0
302,2.0
303,16.0
304,1.0
305,2.0
306,1.0
307,17.0
308,2.0
309,0.0
310,25.0
311,5.0
312,24.0
313,1.0
314,68.0
315,7.0
316,1.0
317,13.0
318,31.0
319,6.0
320,26.0
321,30.0
322,0.0
323,13.0
324,1.0
325,0.0
326,17.0
327,2.0
328,4.0
329,0.0
330,25.0
331,37.0
332,6.0
333,17.0
334,18.0
335,3.0
336,2.0
337,1.0
338,17.0
339,12.0
340,14.0
341,26.0
342,3.0
343,6.0
344,0.0
345,4.0
346,0.0
347,4.0
348,4.0
349,6.0
350,0.0
351,0.0
352,25.0
353,32.0
354,1.0
355,73.0
356,7.0
357,20.0
358,14.0
359,13.0
360,32.0
361,31.0
362,9.0
363,31.0
364,0.0
365,38.0
366,1.0
367,17.0
368,47.0
369,5.0
370,2.0
371,28.0
372,0.0
373,9.0
374,10.0
375,3.0
376,52.0
377,42.0
378,13.0
379,45.0
380,2.0
381,27.0
382,1.0
383,1.0
384,11.0
385,10.0
386,29.0
387,2.0
388,3.0
389,18.0
390,3.0
391,1.0
392,3.0
393,0.0
394,28.0
395,9.0
396,2.0
397,25.0
398,1.0
399,1.0
