,Fzd3
0,0.0
1,0.0
2,0.0
3,1.0
4,0.0
5,0.0
6,0.0
7,2.0
8,3.0
9,0.0
10,0.0
11,0.0
12,1.0
13,1.0
14,1.0
15,1.0
16,2.0
17,0.0
18,0.0
19,1.0
20,0.0
21,0.0
22,0.0
23,0.0
24,2.0
25,1.0
26,1.0
27,2.0
28,2.0
29,0.0
30,0.0
31,3.0
32,1.0
33,0.0
34,0.0
35,2.0
36,1.0
37,1.0
38,0.0
39,0.0
40,2.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,1.0
51,0.0
52,1.0
53,1.0
54,1.0
55,4.0
56,0.0
57,0.0
58,0.0
59,4.0
60,2.0
61,0.0
62,1.0
63,0.0
64,2.0
65,2.0
66,2.0
67,0.0
68,1.0
69,0.0
70,0.0
71,2.0
72,0.0
73,0.0
74,6.0
75,0.0
76,2.0
77,0.0
78,0.0
79,1.0
80,2.0
81,0.0
82,0.0
83,1.0
84,1.0
85,0.0
86,0.0
87,0.0
88,5.0
89,5.0
90,0.0
91,1.0
92,1.0
93,0.0
94,0.0
95,2.0
96,2.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,1.0
103,6.0
104,0.0
105,0.0
106,2.0
107,1.0
108,0.0
109,0.0
110,1.0
111,0.0
112,0.0
113,1.0
114,3.0
115,0.0
116,0.0
117,5.0
118,0.0
119,1.0
120,1.0
121,0.0
122,0.0
123,2.0
124,0.0
125,0.0
126,0.0
127,3.0
128,0.0
129,0.0
130,0.0
131,1.0
132,0.0
133,0.0
134,14.0
135,1.0
136,1.0
137,0.0
138,1.0
139,0.0
140,1.0
141,26.0
142,13.0
143,18.0
144,0.0
145,4.0
146,0.0
147,0.0
148,0.0
149,0.0
150,11.0
151,1.0
152,0.0
153,20.0
154,4.0
155,16.0
156,6.0
157,11.0
158,6.0
159,16.0
160,1.0
161,0.0
162,2.0
163,2.0
164,1.0
165,7.0
166,0.0
167,0.0
168,10.0
169,0.0
170,8.0
171,1.0
172,2.0
173,8.0
174,18.0
175,0.0
176,17.0
177,0.0
178,0.0
179,6.0
180,6.0
181,14.0
182,0.0
183,0.0
184,9.0
185,7.0
186,8.0
187,1.0
188,20.0
189,1.0
190,0.0
191,1.0
192,0.0
193,21.0
194,1.0
195,3.0
196,1.0
197,0.0
198,2.0
199,3.0
200,1.0
201,3.0
202,1.0
203,21.0
204,1.0
205,0.0
206,4.0
207,15.0
208,4.0
209,6.0
210,2.0
211,11.0
212,0.0
213,3.0
214,0.0
215,3.0
216,1.0
217,5.0
218,17.0
219,2.0
220,12.0
221,0.0
222,13.0
223,0.0
224,0.0
225,5.0
226,0.0
227,2.0
228,4.0
229,7.0
230,2.0
231,23.0
232,4.0
233,29.0
234,4.0
235,6.0
236,1.0
237,5.0
238,16.0
239,4.0
240,21.0
241,1.0
242,20.0
243,0.0
244,7.0
245,0.0
246,0.0
247,2.0
248,7.0
249,11.0
250,0.0
251,4.0
252,1.0
253,0.0
254,0.0
255,0.0
256,1.0
257,4.0
258,6.0
259,0.0
260,19.0
261,12.0
262,24.0
263,0.0
264,22.0
265,6.0
266,5.0
267,10.0
268,5.0
269,7.0
270,3.0
271,1.0
272,2.0
273,7.0
274,26.0
275,8.0
276,2.0
277,22.0
278,11.0
279,12.0
280,16.0
281,2.0
282,22.0
283,4.0
284,14.0
285,15.0
286,1.0
287,2.0
288,5.0
289,17.0
290,0.0
291,0.0
292,8.0
293,7.0
294,9.0
295,8.0
296,5.0
297,1.0
298,5.0
299,1.0
300,0.0
301,10.0
302,1.0
303,6.0
304,0.0
305,4.0
306,5.0
307,11.0
308,1.0
309,0.0
310,15.0
311,4.0
312,13.0
313,0.0
314,25.0
315,6.0
316,1.0
317,11.0
318,13.0
319,1.0
320,11.0
321,17.0
322,1.0
323,4.0
324,0.0
325,2.0
326,9.0
327,0.0
328,4.0
329,2.0
330,9.0
331,10.0
332,3.0
333,13.0
334,13.0
335,0.0
336,2.0
337,3.0
338,7.0
339,4.0
340,18.0
341,9.0
342,2.0
343,4.0
344,0.0
345,2.0
346,1.0
347,4.0
348,3.0
349,2.0
350,1.0
351,0.0
352,8.0
353,7.0
354,0.0
355,26.0
356,6.0
357,19.0
358,8.0
359,17.0
360,15.0
361,10.0
362,5.0
363,21.0
364,0.0
365,26.0
366,1.0
367,2.0
368,14.0
369,4.0
370,2.0
371,16.0
372,0.0
373,10.0
374,14.0
375,1.0
376,11.0
377,23.0
378,11.0
379,11.0
380,3.0
381,11.0
382,0.0
383,3.0
384,5.0
385,7.0
386,16.0
387,1.0
388,2.0
389,9.0
390,0.0
391,0.0
392,0.0
393,0.0
394,21.0
395,15.0
396,1.0
397,11.0
398,0.0
399,4.0
400,14.0
401,0.0
402,15.0
403,2.0
404,6.0
405,0.0
406,10.0
407,5.0
408,6.0
409,1.0
410,0.0
411,8.0
412,0.0
413,1.0
414,21.0
415,8.0
416,6.0
417,6.0
418,2.0
419,0.0
420,5.0
421,10.0
422,4.0
423,0.0
424,0.0
425,0.0
426,15.0
427,2.0
428,6.0
429,11.0
430,0.0
431,11.0
432,6.0
433,4.0
434,15.0
435,2.0
436,10.0
437,2.0
438,7.0
439,1.0
440,12.0
441,12.0
442,0.0
443,0.0
444,23.0
445,3.0
446,8.0
447,12.0
448,0.0
449,0.0
450,14.0
451,0.0
452,0.0
453,1.0
454,0.0
455,3.0
456,2.0
457,1.0
458,2.0
459,3.0
460,10.0
461,29.0
462,1.0
463,11.0
464,7.0
465,5.0
466,1.0
467,9.0
468,7.0
469,3.0
470,9.0
471,4.0
472,10.0
473,1.0
474,15.0
475,1.0
476,9.0
477,7.0
478,5.0
479,13.0
480,13.0
481,15.0
482,14.0
483,2.0
484,4.0
485,0.0
486,0.0
487,5.0
488,3.0
489,1.0
490,9.0
491,9.0
492,0.0
493,14.0
494,14.0
495,15.0
496,17.0
497,0.0
498,6.0
499,8.0
500,1.0
501,7.0
502,0.0
503,15.0
504,2.0
505,18.0
506,20.0
507,0.0
508,0.0
509,0.0
510,4.0
511,0.0
512,13.0
513,2.0
514,0.0
515,0.0
516,12.0
517,1.0
518,21.0
519,0.0
520,14.0
521,1.0
522,1.0
523,4.0
524,2.0
525,4.0
526,0.0
527,6.0
528,13.0
529,1.0
530,0.0
531,5.0
532,14.0
533,15.0
534,18.0
535,2.0
536,14.0
537,10.0
538,3.0
539,4.0
540,2.0
541,0.0
542,5.0
543,1.0
544,17.0
545,11.0
546,17.0
547,0.0
548,0.0
549,0.0
550,10.0
551,6.0
552,19.0
553,8.0
554,19.0
555,6.0
556,6.0
557,9.0
558,2.0
559,0.0
560,2.0
561,8.0
562,14.0
563,13.0
564,4.0
565,11.0
566,0.0
567,4.0
568,0.0
569,4.0
570,0.0
571,2.0
