,Gabbr2
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,1.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,1.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,1.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,12.0
35,0.0
36,8.0
37,0.0
38,1.0
39,0.0
40,0.0
41,0.0
42,1.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,1.0
49,0.0
50,0.0
51,0.0
52,1.0
53,1.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,17.0
65,0.0
66,0.0
67,0.0
68,0.0
69,2.0
70,0.0
71,0.0
72,0.0
73,1.0
74,24.0
75,0.0
76,0.0
77,0.0
78,0.0
79,2.0
80,2.0
81,3.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,17.0
90,1.0
91,0.0
92,1.0
93,1.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,29.0
104,2.0
105,0.0
106,1.0
107,1.0
108,0.0
109,0.0
110,0.0
111,0.0
112,1.0
113,1.0
114,0.0
115,0.0
116,1.0
117,20.0
118,1.0
119,1.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,13.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,1.0
134,23.0
135,1.0
136,3.0
137,1.0
138,0.0
139,1.0
140,7.0
141,35.0
142,21.0
143,17.0
144,0.0
145,19.0
146,0.0
147,0.0
148,0.0
149,0.0
150,12.0
151,0.0
152,3.0
153,39.0
154,3.0
155,23.0
156,8.0
157,18.0
158,12.0
159,24.0
160,9.0
161,1.0
162,7.0
163,0.0
164,0.0
165,19.0
166,0.0
167,7.0
168,24.0
169,0.0
170,16.0
171,0.0
172,3.0
173,25.0
174,24.0
175,1.0
176,18.0
177,0.0
178,2.0
179,18.0
180,19.0
181,26.0
182,2.0
183,0.0
184,17.0
185,2.0
186,20.0
187,3.0
188,41.0
189,0.0
190,0.0
191,0.0
192,0.0
193,20.0
194,6.0
195,4.0
196,4.0
197,0.0
198,5.0
199,5.0
200,3.0
201,13.0
202,3.0
203,25.0
204,1.0
205,1.0
206,18.0
207,20.0
208,9.0
209,7.0
210,4.0
211,28.0
212,0.0
213,8.0
214,2.0
215,3.0
216,2.0
217,9.0
218,19.0
219,1.0
220,19.0
221,0.0
222,28.0
223,2.0
224,3.0
225,21.0
226,0.0
227,6.0
228,7.0
229,11.0
230,2.0
231,20.0
232,14.0
233,27.0
234,7.0
235,10.0
236,5.0
237,9.0
238,37.0
239,7.0
240,40.0
241,0.0
242,18.0
243,0.0
244,22.0
245,1.0
246,0.0
247,2.0
248,5.0
249,16.0
250,2.0
251,43.0
252,6.0
253,0.0
254,1.0
255,1.0
256,0.0
257,13.0
258,11.0
259,2.0
260,27.0
261,24.0
262,37.0
263,1.0
264,20.0
265,6.0
266,27.0
267,19.0
268,4.0
269,12.0
270,0.0
271,4.0
272,3.0
273,10.0
274,17.0
275,28.0
276,0.0
277,21.0
278,15.0
279,19.0
280,40.0
281,4.0
282,17.0
283,11.0
284,15.0
285,20.0
286,5.0
287,4.0
288,6.0
289,17.0
290,6.0
291,3.0
292,16.0
293,12.0
294,5.0
295,19.0
296,2.0
297,2.0
298,2.0
299,0.0
300,0.0
301,21.0
302,1.0
303,12.0
304,2.0
305,2.0
306,16.0
307,16.0
308,4.0
309,0.0
310,22.0
311,8.0
312,34.0
313,1.0
314,30.0
315,18.0
316,4.0
317,4.0
318,21.0
319,1.0
320,16.0
321,28.0
322,1.0
323,12.0
324,4.0
325,1.0
326,21.0
327,1.0
328,3.0
329,1.0
330,22.0
331,19.0
332,6.0
333,20.0
334,7.0
335,0.0
336,3.0
337,3.0
338,7.0
339,7.0
340,15.0
341,20.0
342,3.0
343,12.0
344,0.0
345,21.0
346,0.0
347,4.0
348,1.0
349,19.0
350,7.0
351,0.0
352,18.0
353,24.0
354,3.0
355,35.0
356,11.0
357,23.0
358,7.0
359,18.0
360,23.0
361,17.0
362,9.0
363,22.0
364,1.0
365,34.0
366,0.0
367,5.0
368,22.0
369,5.0
370,2.0
371,17.0
372,0.0
373,15.0
374,11.0
375,13.0
376,24.0
377,23.0
378,15.0
379,18.0
380,5.0
381,24.0
382,2.0
383,1.0
384,5.0
385,7.0
386,16.0
387,6.0
388,5.0
389,13.0
390,5.0
391,0.0
392,1.0
393,0.0
394,25.0
395,17.0
396,0.0
397,29.0
398,0.0
399,9.0
400,32.0
401,0.0
402,15.0
403,6.0
404,4.0
405,0.0
406,15.0
407,5.0
408,9.0
409,1.0
410,0.0
411,8.0
412,0.0
413,1.0
414,17.0
415,14.0
416,5.0
417,21.0
418,3.0
419,0.0
420,5.0
421,11.0
422,15.0
423,3.0
424,2.0
425,0.0
426,22.0
427,10.0
428,5.0
429,17.0
430,0.0
431,26.0
432,13.0
433,15.0
434,21.0
435,2.0
436,23.0
437,5.0
438,8.0
439,2.0
440,15.0
441,11.0
442,0.0
443,2.0
444,16.0
445,16.0
446,16.0
447,16.0
448,2.0
449,1.0
450,17.0
451,0.0
452,0.0
453,0.0
454,0.0
455,3.0
456,0.0
457,2.0
458,2.0
459,1.0
460,11.0
461,39.0
462,5.0
463,23.0
464,15.0
465,7.0
466,0.0
467,23.0
468,15.0
469,18.0
470,18.0
471,17.0
472,18.0
473,5.0
474,12.0
475,2.0
476,11.0
477,14.0
478,5.0
479,13.0
480,12.0
481,24.0
482,12.0
483,23.0
484,15.0
485,0.0
486,4.0
487,5.0
488,8.0
489,1.0
490,15.0
491,19.0
492,0.0
493,29.0
494,31.0
495,24.0
496,21.0
497,1.0
498,10.0
499,18.0
500,3.0
501,16.0
502,10.0
503,18.0
504,6.0
505,40.0
506,22.0
507,1.0
508,5.0
509,0.0
510,6.0
511,0.0
512,24.0
513,0.0
514,0.0
515,0.0
516,22.0
517,2.0
518,29.0
519,2.0
520,21.0
521,0.0
522,0.0
523,3.0
524,0.0
525,11.0
526,0.0
527,5.0
528,32.0
529,0.0
530,16.0
531,5.0
532,22.0
533,16.0
534,19.0
535,2.0
536,11.0
537,16.0
538,5.0
539,5.0
540,6.0
541,0.0
542,13.0
543,1.0
544,24.0
545,24.0
546,25.0
547,0.0
548,0.0
549,0.0
550,15.0
551,11.0
552,26.0
553,24.0
554,24.0
555,19.0
556,19.0
557,17.0
558,0.0
559,1.0
560,1.0
561,22.0
562,30.0
563,18.0
564,7.0
565,9.0
566,1.0
567,1.0
568,2.0
569,7.0
570,0.0
571,11.0
