,Gpr162
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,1.0
7,2.0
8,0.0
9,0.0
10,0.0
11,0.0
12,1.0
13,1.0
14,0.0
15,0.0
16,1.0
17,1.0
18,0.0
19,0.0
20,1.0
21,0.0
22,1.0
23,1.0
24,2.0
25,0.0
26,1.0
27,0.0
28,0.0
29,2.0
30,0.0
31,1.0
32,0.0
33,1.0
34,0.0
35,0.0
36,3.0
37,0.0
38,0.0
39,1.0
40,1.0
41,0.0
42,0.0
43,0.0
44,1.0
45,1.0
46,0.0
47,0.0
48,0.0
49,0.0
50,1.0
51,0.0
52,0.0
53,0.0
54,0.0
55,1.0
56,2.0
57,0.0
58,0.0
59,2.0
60,1.0
61,1.0
62,0.0
63,0.0
64,3.0
65,4.0
66,2.0
67,0.0
68,1.0
69,1.0
70,0.0
71,0.0
72,0.0
73,0.0
74,3.0
75,0.0
76,2.0
77,1.0
78,0.0
79,0.0
80,2.0
81,0.0
82,0.0
83,0.0
84,1.0
85,0.0
86,0.0
87,0.0
88,0.0
89,3.0
90,2.0
91,0.0
92,1.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,3.0
99,0.0
100,0.0
101,0.0
102,0.0
103,10.0
104,1.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,1.0
113,0.0
114,0.0
115,0.0
116,0.0
117,6.0
118,1.0
119,2.0
120,0.0
121,2.0
122,2.0
123,0.0
124,0.0
125,0.0
126,1.0
127,5.0
128,0.0
129,0.0
130,0.0
131,0.0
132,1.0
133,0.0
134,6.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,2.0
141,10.0
142,3.0
143,2.0
144,0.0
145,2.0
146,3.0
147,0.0
148,1.0
149,0.0
150,4.0
151,0.0
152,3.0
153,3.0
154,1.0
155,9.0
156,3.0
157,2.0
158,4.0
159,11.0
160,1.0
161,0.0
162,2.0
163,0.0
164,0.0
165,5.0
166,0.0
167,1.0
168,10.0
169,0.0
170,7.0
171,0.0
172,1.0
173,2.0
174,6.0
175,1.0
176,2.0
177,0.0
178,1.0
179,5.0
180,1.0
181,8.0
182,0.0
183,0.0
184,7.0
185,1.0
186,6.0
187,0.0
188,8.0
189,2.0
190,0.0
191,0.0
192,0.0
193,5.0
194,0.0
195,0.0
196,1.0
197,0.0
198,2.0
199,1.0
200,1.0
201,1.0
202,2.0
203,13.0
204,0.0
205,0.0
206,3.0
207,8.0
208,1.0
209,0.0
210,0.0
211,6.0
212,4.0
213,1.0
214,2.0
215,1.0
216,0.0
217,4.0
218,8.0
219,0.0
220,2.0
221,2.0
222,8.0
223,1.0
224,0.0
225,12.0
226,2.0
227,2.0
228,4.0
229,6.0
230,1.0
231,8.0
232,6.0
233,5.0
234,4.0
235,1.0
236,1.0
237,2.0
238,7.0
239,2.0
240,10.0
241,0.0
242,7.0
243,0.0
244,4.0
245,0.0
246,0.0
247,3.0
248,1.0
249,14.0
250,0.0
251,5.0
252,2.0
253,2.0
254,0.0
255,0.0
256,0.0
257,2.0
258,0.0
259,0.0
260,5.0
261,4.0
262,15.0
263,2.0
264,1.0
265,2.0
266,3.0
267,5.0
268,2.0
269,3.0
270,0.0
271,2.0
272,0.0
273,3.0
274,6.0
275,5.0
276,0.0
277,10.0
278,2.0
279,4.0
280,7.0
281,0.0
282,5.0
283,1.0
284,3.0
285,7.0
286,0.0
287,2.0
288,3.0
289,4.0
290,0.0
291,2.0
292,3.0
293,5.0
294,5.0
295,5.0
296,0.0
297,0.0
298,1.0
299,0.0
300,0.0
301,8.0
302,0.0
303,2.0
304,2.0
305,2.0
306,2.0
307,6.0
308,0.0
309,0.0
310,3.0
311,2.0
312,11.0
313,0.0
314,9.0
315,4.0
316,3.0
317,2.0
318,10.0
319,1.0
320,3.0
321,6.0
322,1.0
323,3.0
324,3.0
325,0.0
326,8.0
327,1.0
328,1.0
329,0.0
330,3.0
331,2.0
332,0.0
333,5.0
334,7.0
335,1.0
336,0.0
337,3.0
338,3.0
339,0.0
340,3.0
341,8.0
342,0.0
343,2.0
344,0.0
345,6.0
346,0.0
347,0.0
348,2.0
349,1.0
350,1.0
351,4.0
352,6.0
353,5.0
354,0.0
355,9.0
356,6.0
357,5.0
358,2.0
359,5.0
360,4.0
361,3.0
362,1.0
363,10.0
364,2.0
365,12.0
366,0.0
367,3.0
368,2.0
369,2.0
370,0.0
371,8.0
372,1.0
373,1.0
374,2.0
375,1.0
376,7.0
377,9.0
378,3.0
379,4.0
380,2.0
381,5.0
382,1.0
383,3.0
384,3.0
385,4.0
386,8.0
387,1.0
388,1.0
389,4.0
390,0.0
391,0.0
392,1.0
393,1.0
394,5.0
395,5.0
396,0.0
397,7.0
398,0.0
399,2.0
400,6.0
401,0.0
402,8.0
403,0.0
404,3.0
405,0.0
406,6.0
407,1.0
408,4.0
409,0.0
410,0.0
411,1.0
412,0.0
413,2.0
414,4.0
415,1.0
416,2.0
417,3.0
418,0.0
419,0.0
420,5.0
421,4.0
422,3.0
423,0.0
424,1.0
425,0.0
426,4.0
427,0.0
428,4.0
429,8.0
430,0.0
431,3.0
432,4.0
433,7.0
434,10.0
435,0.0
436,7.0
437,1.0
438,5.0
439,0.0
440,2.0
441,6.0
442,0.0
443,1.0
444,3.0
445,6.0
446,1.0
447,4.0
448,1.0
449,0.0
450,1.0
451,0.0
452,1.0
453,0.0
454,0.0
455,2.0
456,1.0
457,0.0
458,0.0
459,0.0
460,3.0
461,16.0
462,0.0
463,6.0
464,2.0
465,4.0
466,0.0
467,4.0
468,2.0
469,3.0
470,6.0
471,8.0
472,2.0
473,2.0
474,6.0
475,0.0
476,1.0
477,5.0
478,1.0
479,2.0
480,7.0
481,7.0
482,5.0
483,1.0
484,1.0
485,0.0
486,0.0
487,0.0
488,0.0
489,1.0
490,6.0
491,5.0
492,0.0
493,6.0
494,19.0
495,4.0
496,5.0
497,1.0
498,5.0
499,3.0
500,1.0
501,5.0
502,4.0
503,4.0
504,2.0
505,8.0
506,6.0
507,0.0
508,1.0
509,0.0
510,3.0
511,0.0
512,3.0
513,0.0
514,0.0
515,0.0
516,12.0
517,0.0
518,8.0
519,0.0
520,7.0
521,1.0
522,2.0
523,2.0
524,0.0
525,1.0
526,0.0
527,0.0
528,8.0
529,0.0
530,7.0
531,1.0
532,6.0
533,7.0
534,2.0
535,1.0
536,11.0
537,5.0
538,0.0
539,4.0
540,1.0
541,5.0
542,2.0
543,1.0
544,5.0
545,8.0
546,9.0
547,0.0
548,0.0
549,0.0
550,3.0
551,3.0
552,5.0
553,6.0
554,1.0
555,2.0
556,1.0
557,6.0
558,0.0
559,1.0
560,1.0
561,5.0
562,5.0
563,6.0
564,2.0
565,2.0
566,2.0
567,0.0
568,0.0
569,0.0
570,0.0
571,3.0
