,Gprc5b
0,0.0
1,1.0
2,0.0
3,0.0
4,0.0
5,3.0
6,4.0
7,9.0
8,2.0
9,0.0
10,0.0
11,0.0
12,1.0
13,5.0
14,2.0
15,2.0
16,3.0
17,1.0
18,0.0
19,4.0
20,1.0
21,0.0
22,4.0
23,1.0
24,9.0
25,0.0
26,3.0
27,1.0
28,4.0
29,4.0
30,0.0
31,3.0
32,5.0
33,1.0
34,0.0
35,5.0
36,0.0
37,0.0
38,2.0
39,6.0
40,8.0
41,1.0
42,2.0
43,2.0
44,0.0
45,0.0
46,1.0
47,0.0
48,1.0
49,1.0
50,2.0
51,2.0
52,0.0
53,1.0
54,3.0
55,1.0
56,4.0
57,1.0
58,0.0
59,2.0
60,7.0
61,2.0
62,1.0
63,1.0
64,0.0
65,7.0
66,4.0
67,4.0
68,5.0
69,3.0
70,2.0
71,3.0
72,0.0
73,1.0
74,0.0
75,0.0
76,4.0
77,1.0
78,2.0
79,4.0
80,2.0
81,0.0
82,1.0
83,1.0
84,10.0
85,0.0
86,0.0
87,1.0
88,3.0
89,8.0
90,1.0
91,0.0
92,3.0
93,2.0
94,0.0
95,2.0
96,0.0
97,0.0
98,5.0
99,0.0
100,1.0
101,0.0
102,3.0
103,1.0
104,1.0
105,0.0
106,0.0
107,6.0
108,1.0
109,3.0
110,3.0
111,1.0
112,3.0
113,0.0
114,4.0
115,4.0
116,2.0
117,0.0
118,2.0
119,2.0
120,3.0
121,3.0
122,2.0
123,2.0
124,0.0
125,1.0
126,0.0
127,1.0
128,0.0
129,1.0
130,2.0
131,0.0
132,0.0
133,0.0
134,1.0
135,8.0
136,0.0
137,1.0
138,2.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,8.0
147,0.0
148,8.0
149,2.0
150,0.0
151,0.0
152,2.0
153,0.0
154,0.0
155,0.0
156,0.0
157,1.0
158,0.0
159,1.0
160,0.0
161,1.0
162,0.0
163,4.0
164,0.0
165,0.0
166,0.0
167,0.0
168,5.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,2.0
175,2.0
176,0.0
177,1.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,1.0
184,0.0
185,0.0
186,1.0
187,1.0
188,0.0
189,0.0
190,0.0
191,2.0
192,1.0
193,0.0
194,2.0
195,1.0
196,0.0
197,0.0
198,0.0
199,0.0
200,3.0
201,0.0
202,4.0
203,3.0
204,0.0
205,0.0
206,1.0
207,0.0
208,0.0
209,2.0
210,0.0
211,1.0
212,6.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,2.0
222,0.0
223,0.0
224,0.0
225,0.0
226,1.0
227,1.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,2.0
243,0.0
244,0.0
245,0.0
246,0.0
247,5.0
248,0.0
249,0.0
250,0.0
251,1.0
252,0.0
253,2.0
254,0.0
255,10.0
256,0.0
257,1.0
258,2.0
259,3.0
260,0.0
261,0.0
262,0.0
263,3.0
264,0.0
265,0.0
266,0.0
267,1.0
268,0.0
269,0.0
270,0.0
271,0.0
272,2.0
273,0.0
274,0.0
275,0.0
276,1.0
277,0.0
278,0.0
279,1.0
280,2.0
281,2.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,1.0
292,0.0
293,1.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,3.0
300,0.0
301,2.0
302,0.0
303,1.0
304,0.0
305,0.0
306,3.0
307,1.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,1.0
314,2.0
315,0.0
316,0.0
317,0.0
318,1.0
319,0.0
320,0.0
321,0.0
322,2.0
323,1.0
324,1.0
325,0.0
326,0.0
327,2.0
328,0.0
329,1.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,3.0
336,0.0
337,1.0
338,1.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,6.0
346,0.0
347,1.0
348,0.0
349,0.0
350,1.0
351,5.0
352,0.0
353,0.0
354,0.0
355,0.0
356,2.0
357,0.0
358,1.0
359,0.0
360,1.0
361,0.0
362,0.0
363,0.0
364,1.0
365,0.0
366,1.0
367,0.0
368,0.0
369,1.0
370,0.0
371,1.0
372,1.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,3.0
381,0.0
382,0.0
383,6.0
384,1.0
385,0.0
386,1.0
387,0.0
388,1.0
389,0.0
390,0.0
391,1.0
392,0.0
393,0.0
394,1.0
395,0.0
396,0.0
397,0.0
398,0.0
399,2.0
400,2.0
401,0.0
402,1.0
403,0.0
404,4.0
405,1.0
406,0.0
407,2.0
408,0.0
409,0.0
410,0.0
411,0.0
412,1.0
413,0.0
414,0.0
415,2.0
416,0.0
417,0.0
418,0.0
419,1.0
420,0.0
421,0.0
422,1.0
423,2.0
424,7.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,3.0
431,0.0
432,0.0
433,4.0
434,0.0
435,0.0
436,0.0
437,1.0
438,3.0
439,0.0
440,0.0
441,1.0
442,0.0
443,2.0
444,0.0
445,0.0
446,1.0
447,1.0
448,3.0
449,0.0
450,0.0
451,0.0
452,0.0
453,1.0
454,3.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,1.0
461,1.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,1.0
470,0.0
471,0.0
472,0.0
473,4.0
474,0.0
475,0.0
476,1.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,2.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,2.0
503,0.0
504,3.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,4.0
513,0.0
514,1.0
515,0.0
516,0.0
517,2.0
518,0.0
519,0.0
520,0.0
521,3.0
522,5.0
523,0.0
524,0.0
525,0.0
526,0.0
527,1.0
528,0.0
529,0.0
530,4.0
531,0.0
532,0.0
533,1.0
534,0.0
535,2.0
536,0.0
537,0.0
538,1.0
539,0.0
540,0.0
541,4.0
542,1.0
543,0.0
544,0.0
545,1.0
546,0.0
547,0.0
548,3.0
549,1.0
550,5.0
551,0.0
552,0.0
553,1.0
554,0.0
555,1.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,1.0
565,2.0
566,2.0
567,0.0
568,0.0
569,0.0
570,2.0
571,0.0
572,1.0
573,0.0
574,0.0
575,2.0
576,0.0
577,2.0
578,0.0
579,0.0
580,0.0
581,14.0
582,0.0
583,0.0
584,0.0
585,3.0
586,0.0
587,0.0
588,4.0
589,0.0
590,0.0
591,0.0
592,1.0
593,0.0
594,0.0
595,0.0
596,1.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,3.0
607,2.0
608,1.0
609,1.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,7.0
619,0.0
620,0.0
621,0.0
622,0.0
623,4.0
624,0.0
625,0.0
626,0.0
627,6.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,1.0
634,0.0
635,0.0
636,0.0
637,0.0
638,4.0
