,Grm5
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,1.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,1.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,4.0
35,0.0
36,4.0
37,0.0
38,1.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,5.0
45,0.0
46,0.0
47,0.0
48,0.0
49,1.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,2.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,11.0
65,0.0
66,0.0
67,1.0
68,0.0
69,6.0
70,0.0
71,0.0
72,0.0
73,0.0
74,12.0
75,0.0
76,0.0
77,0.0
78,1.0
79,5.0
80,1.0
81,1.0
82,0.0
83,0.0
84,0.0
85,1.0
86,0.0
87,0.0
88,0.0
89,5.0
90,1.0
91,0.0
92,1.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,1.0
102,0.0
103,15.0
104,1.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,1.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,8.0
118,3.0
119,2.0
120,0.0
121,0.0
122,0.0
123,2.0
124,0.0
125,1.0
126,0.0
127,15.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,1.0
134,20.0
135,1.0
136,4.0
137,0.0
138,0.0
139,0.0
140,4.0
141,23.0
142,32.0
143,19.0
144,0.0
145,15.0
146,0.0
147,0.0
148,0.0
149,1.0
150,26.0
151,0.0
152,0.0
153,28.0
154,7.0
155,17.0
156,13.0
157,20.0
158,10.0
159,27.0
160,4.0
161,0.0
162,6.0
163,0.0
164,0.0
165,14.0
166,0.0
167,5.0
168,14.0
169,1.0
170,15.0
171,1.0
172,1.0
173,26.0
174,11.0
175,0.0
176,8.0
177,0.0
178,0.0
179,8.0
180,9.0
181,13.0
182,0.0
183,0.0
184,18.0
185,9.0
186,27.0
187,3.0
188,42.0
189,2.0
190,0.0
191,0.0
192,1.0
193,31.0
194,4.0
195,3.0
196,3.0
197,0.0
198,1.0
199,5.0
200,0.0
201,7.0
202,0.0
203,32.0
204,0.0
205,0.0
206,14.0
207,19.0
208,15.0
209,8.0
210,0.0
211,29.0
212,0.0
213,6.0
214,0.0
215,2.0
216,3.0
217,11.0
218,11.0
219,0.0
220,10.0
221,0.0
222,22.0
223,1.0
224,0.0
225,22.0
226,0.0
227,6.0
228,10.0
229,9.0
230,6.0
231,16.0
232,10.0
233,21.0
234,5.0
235,12.0
236,6.0
237,4.0
238,32.0
239,4.0
240,21.0
241,0.0
242,33.0
243,0.0
244,19.0
245,0.0
246,0.0
247,0.0
248,3.0
249,10.0
250,1.0
251,13.0
252,3.0
253,0.0
254,0.0
255,0.0
256,1.0
257,11.0
258,5.0
259,0.0
260,14.0
261,14.0
262,32.0
263,0.0
264,10.0
265,1.0
266,5.0
267,14.0
268,7.0
269,13.0
270,0.0
271,3.0
272,6.0
273,19.0
274,18.0
275,16.0
276,2.0
277,30.0
278,12.0
279,18.0
280,17.0
281,1.0
282,18.0
283,2.0
284,16.0
285,16.0
286,2.0
287,3.0
288,1.0
289,13.0
290,6.0
291,1.0
292,15.0
293,16.0
294,18.0
295,11.0
296,2.0
297,0.0
298,1.0
299,0.0
300,0.0
301,30.0
302,2.0
303,5.0
304,0.0
305,0.0
306,24.0
307,7.0
308,4.0
309,0.0
310,14.0
311,5.0
312,19.0
313,0.0
314,21.0
315,14.0
316,2.0
317,7.0
318,17.0
319,0.0
320,10.0
321,31.0
322,0.0
323,9.0
324,0.0
325,2.0
326,19.0
327,0.0
328,3.0
329,2.0
330,15.0
331,16.0
332,4.0
333,12.0
334,18.0
335,0.0
336,3.0
337,1.0
338,9.0
339,8.0
340,9.0
341,22.0
342,0.0
343,8.0
344,0.0
345,14.0
346,0.0
347,1.0
348,0.0
349,7.0
350,4.0
351,0.0
352,23.0
353,16.0
354,0.0
355,30.0
356,9.0
357,18.0
358,1.0
359,12.0
360,15.0
361,16.0
362,7.0
363,17.0
364,0.0
365,26.0
366,1.0
367,12.0
368,11.0
369,2.0
370,0.0
371,14.0
372,0.0
373,10.0
374,17.0
375,5.0
376,21.0
377,21.0
378,12.0
379,23.0
380,5.0
381,26.0
382,6.0
383,1.0
384,12.0
385,6.0
386,17.0
387,2.0
388,0.0
389,11.0
390,0.0
391,0.0
392,1.0
393,0.0
394,27.0
395,11.0
396,0.0
397,20.0
398,0.0
399,11.0
400,11.0
401,0.0
402,8.0
403,5.0
404,14.0
405,0.0
406,24.0
407,6.0
408,10.0
409,4.0
410,0.0
411,2.0
412,1.0
413,3.0
414,11.0
415,9.0
416,2.0
417,2.0
418,1.0
419,0.0
420,1.0
421,10.0
422,15.0
423,0.0
424,0.0
425,1.0
426,24.0
427,2.0
428,2.0
429,17.0
430,0.0
431,16.0
432,10.0
433,30.0
434,18.0
435,1.0
436,14.0
437,6.0
438,11.0
439,1.0
440,10.0
441,13.0
442,0.0
443,1.0
444,19.0
445,11.0
446,12.0
447,18.0
448,1.0
449,0.0
450,16.0
451,0.0
452,1.0
453,0.0
454,0.0
455,5.0
456,1.0
457,1.0
458,0.0
459,1.0
460,13.0
461,29.0
462,6.0
463,19.0
464,24.0
465,13.0
466,2.0
467,18.0
468,7.0
469,13.0
470,9.0
471,12.0
472,7.0
473,5.0
474,9.0
475,0.0
476,8.0
477,10.0
478,3.0
479,10.0
480,17.0
481,20.0
482,13.0
483,5.0
484,3.0
485,1.0
486,7.0
487,0.0
488,5.0
489,1.0
490,16.0
491,13.0
492,0.0
493,15.0
494,22.0
495,21.0
496,11.0
497,0.0
498,10.0
499,16.0
500,0.0
501,6.0
502,12.0
503,25.0
504,5.0
505,22.0
506,27.0
507,1.0
508,9.0
509,0.0
510,4.0
511,0.0
512,21.0
513,0.0
514,1.0
515,1.0
516,13.0
517,0.0
518,20.0
519,0.0
520,31.0
521,0.0
522,0.0
523,4.0
524,5.0
525,6.0
526,0.0
527,11.0
528,18.0
529,0.0
530,16.0
531,4.0
532,15.0
533,25.0
534,5.0
535,2.0
536,11.0
537,18.0
538,6.0
539,12.0
540,4.0
541,0.0
542,16.0
543,1.0
544,10.0
545,20.0
546,20.0
547,0.0
548,0.0
549,1.0
550,25.0
551,10.0
552,12.0
553,23.0
554,20.0
555,14.0
556,14.0
557,3.0
558,1.0
559,0.0
560,0.0
561,24.0
562,24.0
563,8.0
564,6.0
565,16.0
566,0.0
567,7.0
568,0.0
569,3.0
570,1.0
571,11.0
