,Insr
0,3.0
1,2.0
2,0.0
3,1.0
4,0.0
5,1.0
6,3.0
7,4.0
8,2.0
9,0.0
10,1.0
11,1.0
12,0.0
13,3.0
14,2.0
15,0.0
16,0.0
17,0.0
18,0.0
19,1.0
20,0.0
21,1.0
22,0.0
23,1.0
24,1.0
25,0.0
26,1.0
27,0.0
28,2.0
29,2.0
30,1.0
31,4.0
32,5.0
33,0.0
34,1.0
35,1.0
36,0.0
37,3.0
38,2.0
39,2.0
40,2.0
41,2.0
42,0.0
43,0.0
44,1.0
45,3.0
46,1.0
47,2.0
48,2.0
49,1.0
50,0.0
51,1.0
52,2.0
53,2.0
54,3.0
55,4.0
56,1.0
57,0.0
58,1.0
59,0.0
60,6.0
61,0.0
62,0.0
63,1.0
64,1.0
65,2.0
66,0.0
67,0.0
68,4.0
69,2.0
70,2.0
71,0.0
72,3.0
73,1.0
74,2.0
75,0.0
76,3.0
77,1.0
78,0.0
79,4.0
80,1.0
81,1.0
82,1.0
83,1.0
84,4.0
85,0.0
86,0.0
87,1.0
88,2.0
89,1.0
90,0.0
91,2.0
92,2.0
93,0.0
94,0.0
95,3.0
96,2.0
97,1.0
98,0.0
99,0.0
100,2.0
101,1.0
102,2.0
103,3.0
104,0.0
105,1.0
106,0.0
107,2.0
108,2.0
109,1.0
110,3.0
111,0.0
112,2.0
113,0.0
114,2.0
115,1.0
116,0.0
117,2.0
118,2.0
119,3.0
120,0.0
121,0.0
122,0.0
123,5.0
124,0.0
125,1.0
126,0.0
127,4.0
128,3.0
129,0.0
130,2.0
131,1.0
132,0.0
133,1.0
134,4.0
135,2.0
136,0.0
137,0.0
138,6.0
139,2.0
140,4.0
141,2.0
142,4.0
143,3.0
144,3.0
145,1.0
146,4.0
147,0.0
148,1.0
149,0.0
150,1.0
151,2.0
152,4.0
153,6.0
154,0.0
155,3.0
156,3.0
157,1.0
158,1.0
159,6.0
160,0.0
161,0.0
162,0.0
163,2.0
164,0.0
165,4.0
166,2.0
167,0.0
168,3.0
169,1.0
170,5.0
171,6.0
172,0.0
173,5.0
174,5.0
175,0.0
176,5.0
177,2.0
178,0.0
179,2.0
180,0.0
181,5.0
182,1.0
183,1.0
184,1.0
185,0.0
186,5.0
187,3.0
188,7.0
189,1.0
190,0.0
191,0.0
192,0.0
193,6.0
194,5.0
195,0.0
196,1.0
197,0.0
198,0.0
199,2.0
200,1.0
201,1.0
202,2.0
203,5.0
204,3.0
205,4.0
206,1.0
207,4.0
208,0.0
209,0.0
210,0.0
211,3.0
212,2.0
213,5.0
214,0.0
215,0.0
216,0.0
217,0.0
218,3.0
219,3.0
220,1.0
221,1.0
222,5.0
223,0.0
224,0.0
225,2.0
226,3.0
227,0.0
228,3.0
229,3.0
230,1.0
231,0.0
232,6.0
233,9.0
234,2.0
235,4.0
236,2.0
237,2.0
238,8.0
239,0.0
240,0.0
241,1.0
242,5.0
243,0.0
244,6.0
245,1.0
246,1.0
247,0.0
248,0.0
249,2.0
250,1.0
251,3.0
252,2.0
253,1.0
254,0.0
255,3.0
256,3.0
257,0.0
258,0.0
259,0.0
260,2.0
261,4.0
262,4.0
263,1.0
264,2.0
265,0.0
266,3.0
267,1.0
268,2.0
269,1.0
270,1.0
271,0.0
272,1.0
273,2.0
274,4.0
275,1.0
276,2.0
277,2.0
278,2.0
279,3.0
280,5.0
281,1.0
282,1.0
283,0.0
284,1.0
285,4.0
286,2.0
287,1.0
288,0.0
289,1.0
290,1.0
291,0.0
292,5.0
293,6.0
294,1.0
295,7.0
296,0.0
297,1.0
298,2.0
299,0.0
300,0.0
301,4.0
302,1.0
303,2.0
304,2.0
305,2.0
306,1.0
307,1.0
308,0.0
309,1.0
310,4.0
311,2.0
312,3.0
313,2.0
314,9.0
315,2.0
316,0.0
317,1.0
318,4.0
319,0.0
320,2.0
321,2.0
322,0.0
323,2.0
324,1.0
325,1.0
326,6.0
327,2.0
328,2.0
329,0.0
330,3.0
331,2.0
332,1.0
333,2.0
334,7.0
335,1.0
336,0.0
337,0.0
338,2.0
339,4.0
340,3.0
341,2.0
342,0.0
343,1.0
344,1.0
345,4.0
346,1.0
347,0.0
348,1.0
349,2.0
350,0.0
351,1.0
352,2.0
353,3.0
354,0.0
355,9.0
356,2.0
357,4.0
358,2.0
359,5.0
360,2.0
361,2.0
362,0.0
363,9.0
364,1.0
365,3.0
366,1.0
367,6.0
368,5.0
369,0.0
370,0.0
371,3.0
372,0.0
373,1.0
374,2.0
375,0.0
376,5.0
377,6.0
378,1.0
379,4.0
380,0.0
381,5.0
382,0.0
383,0.0
384,3.0
385,2.0
386,4.0
387,0.0
388,0.0
389,1.0
390,0.0
391,0.0
392,1.0
393,1.0
394,1.0
395,4.0
396,2.0
397,9.0
398,2.0
399,3.0
400,7.0
401,0.0
402,3.0
403,0.0
404,2.0
405,3.0
406,2.0
407,4.0
408,5.0
409,0.0
410,5.0
411,2.0
412,4.0
413,0.0
414,6.0
415,5.0
416,0.0
417,3.0
418,0.0
419,2.0
420,3.0
421,1.0
422,2.0
423,2.0
424,1.0
425,1.0
426,4.0
427,1.0
428,2.0
429,4.0
430,0.0
431,5.0
432,0.0
433,2.0
434,4.0
435,0.0
436,3.0
437,0.0
438,5.0
439,0.0
440,4.0
441,5.0
442,0.0
443,2.0
444,3.0
445,2.0
446,1.0
447,6.0
448,3.0
449,5.0
450,7.0
451,0.0
452,0.0
453,2.0
454,2.0
455,3.0
456,0.0
457,1.0
458,0.0
459,1.0
460,2.0
461,4.0
462,2.0
463,1.0
464,1.0
465,5.0
466,3.0
467,4.0
468,2.0
469,2.0
470,2.0
471,3.0
472,1.0
473,4.0
474,4.0
475,3.0
476,3.0
477,5.0
478,1.0
479,3.0
480,5.0
481,3.0
482,0.0
483,4.0
484,2.0
485,0.0
486,1.0
487,1.0
488,0.0
489,1.0
490,5.0
491,3.0
492,0.0
493,4.0
494,4.0
495,4.0
496,6.0
497,0.0
498,4.0
499,4.0
500,1.0
501,0.0
502,1.0
503,7.0
504,3.0
505,4.0
506,6.0
507,1.0
508,0.0
509,0.0
510,3.0
511,0.0
512,2.0
513,2.0
514,1.0
515,0.0
516,7.0
517,0.0
518,2.0
519,0.0
520,6.0
521,2.0
522,1.0
523,2.0
524,0.0
525,0.0
526,0.0
527,0.0
528,4.0
529,1.0
530,3.0
531,1.0
532,7.0
533,3.0
534,0.0
535,1.0
536,3.0
537,6.0
538,1.0
539,1.0
540,1.0
541,3.0
542,3.0
543,0.0
544,1.0
545,4.0
546,6.0
547,0.0
548,3.0
549,0.0
550,3.0
551,3.0
552,7.0
553,7.0
554,5.0
555,2.0
556,3.0
557,4.0
558,0.0
559,1.0
560,1.0
561,5.0
562,2.0
563,6.0
564,3.0
565,6.0
566,1.0
567,0.0
568,0.0
569,1.0
570,4.0
571,3.0
572,0.0
573,1.0
574,3.0
575,4.0
576,3.0
577,3.0
578,11.0
579,2.0
