,Lmtk2
0,1.0
1,0.0
2,0.0
3,0.0
4,1.0
5,0.0
6,1.0
7,0.0
8,0.0
9,0.0
10,0.0
11,1.0
12,0.0
13,0.0
14,2.0
15,1.0
16,0.0
17,0.0
18,0.0
19,1.0
20,0.0
21,0.0
22,1.0
23,0.0
24,2.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,2.0
32,0.0
33,0.0
34,2.0
35,0.0
36,0.0
37,0.0
38,0.0
39,1.0
40,0.0
41,0.0
42,0.0
43,0.0
44,2.0
45,0.0
46,1.0
47,0.0
48,0.0
49,0.0
50,1.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,2.0
57,1.0
58,0.0
59,0.0
60,0.0
61,1.0
62,0.0
63,0.0
64,6.0
65,1.0
66,0.0
67,0.0
68,0.0
69,3.0
70,1.0
71,0.0
72,0.0
73,0.0
74,7.0
75,0.0
76,0.0
77,0.0
78,0.0
79,2.0
80,0.0
81,0.0
82,0.0
83,0.0
84,3.0
85,0.0
86,0.0
87,0.0
88,1.0
89,2.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,2.0
96,1.0
97,0.0
98,0.0
99,0.0
100,0.0
101,1.0
102,2.0
103,6.0
104,2.0
105,2.0
106,0.0
107,0.0
108,0.0
109,1.0
110,0.0
111,0.0
112,1.0
113,0.0
114,0.0
115,0.0
116,0.0
117,3.0
118,0.0
119,3.0
120,1.0
121,1.0
122,0.0
123,1.0
124,3.0
125,1.0
126,0.0
127,4.0
128,0.0
129,2.0
130,0.0
131,4.0
132,0.0
133,1.0
134,12.0
135,0.0
136,4.0
137,0.0
138,0.0
139,0.0
140,2.0
141,17.0
142,12.0
143,9.0
144,0.0
145,12.0
146,0.0
147,0.0
148,0.0
149,1.0
150,11.0
151,0.0
152,1.0
153,13.0
154,2.0
155,21.0
156,6.0
157,9.0
158,6.0
159,14.0
160,0.0
161,0.0
162,6.0
163,0.0
164,0.0
165,12.0
166,0.0
167,2.0
168,14.0
169,0.0
170,12.0
171,1.0
172,2.0
173,22.0
174,19.0
175,0.0
176,12.0
177,0.0
178,1.0
179,9.0
180,3.0
181,19.0
182,0.0
183,0.0
184,12.0
185,4.0
186,10.0
187,0.0
188,18.0
189,2.0
190,0.0
191,0.0
192,0.0
193,16.0
194,1.0
195,3.0
196,7.0
197,2.0
198,2.0
199,5.0
200,2.0
201,2.0
202,0.0
203,28.0
204,2.0
205,2.0
206,6.0
207,16.0
208,5.0
209,5.0
210,3.0
211,17.0
212,0.0
213,1.0
214,0.0
215,0.0
216,0.0
217,5.0
218,13.0
219,1.0
220,10.0
221,0.0
222,10.0
223,0.0
224,0.0
225,18.0
226,2.0
227,4.0
228,15.0
229,10.0
230,6.0
231,21.0
232,12.0
233,22.0
234,3.0
235,6.0
236,2.0
237,6.0
238,17.0
239,6.0
240,16.0
241,1.0
242,9.0
243,0.0
244,15.0
245,0.0
246,0.0
247,3.0
248,4.0
249,15.0
250,1.0
251,4.0
252,3.0
253,3.0
254,1.0
255,0.0
256,1.0
257,9.0
258,8.0
259,1.0
260,19.0
261,15.0
262,28.0
263,0.0
264,8.0
265,4.0
266,6.0
267,8.0
268,8.0
269,7.0
270,0.0
271,2.0
272,1.0
273,7.0
274,30.0
275,10.0
276,5.0
277,23.0
278,14.0
279,15.0
280,24.0
281,0.0
282,14.0
283,8.0
284,19.0
285,13.0
286,4.0
287,3.0
288,7.0
289,8.0
290,2.0
291,0.0
292,16.0
293,21.0
294,11.0
295,19.0
296,5.0
297,1.0
298,2.0
299,2.0
300,0.0
301,15.0
302,1.0
303,9.0
304,1.0
305,2.0
306,13.0
307,10.0
308,1.0
309,1.0
310,17.0
311,5.0
312,16.0
313,0.0
314,54.0
315,8.0
316,2.0
317,6.0
318,17.0
319,3.0
320,17.0
321,14.0
322,1.0
323,8.0
324,0.0
325,1.0
326,13.0
327,1.0
328,2.0
329,0.0
330,11.0
331,15.0
332,5.0
333,13.0
334,7.0
335,0.0
336,1.0
337,2.0
338,18.0
339,4.0
340,20.0
341,25.0
342,2.0
343,2.0
344,0.0
345,6.0
346,0.0
347,2.0
348,1.0
349,8.0
350,4.0
351,1.0
352,20.0
353,23.0
354,1.0
355,25.0
356,4.0
357,16.0
358,4.0
359,21.0
360,20.0
361,11.0
362,7.0
363,23.0
364,0.0
365,43.0
366,2.0
367,14.0
368,13.0
369,2.0
370,3.0
371,20.0
372,0.0
373,10.0
374,10.0
375,4.0
376,25.0
377,22.0
378,14.0
379,11.0
380,3.0
381,18.0
382,0.0
383,2.0
384,8.0
385,9.0
386,17.0
387,2.0
388,2.0
389,13.0
390,4.0
391,1.0
392,0.0
393,1.0
394,13.0
395,8.0
396,0.0
397,9.0
398,2.0
399,12.0
