,Ntrk2
0,0.0
1,1.0
2,0.0
3,1.0
4,1.0
5,8.0
6,10.0
7,20.0
8,2.0
9,4.0
10,1.0
11,1.0
12,1.0
13,2.0
14,11.0
15,8.0
16,5.0
17,1.0
18,1.0
19,3.0
20,11.0
21,0.0
22,11.0
23,1.0
24,20.0
25,7.0
26,4.0
27,8.0
28,4.0
29,18.0
30,0.0
31,3.0
32,10.0
33,3.0
34,1.0
35,10.0
36,1.0
37,5.0
38,6.0
39,18.0
40,14.0
41,1.0
42,5.0
43,1.0
44,5.0
45,4.0
46,1.0
47,0.0
48,3.0
49,6.0
50,10.0
51,0.0
52,3.0
53,1.0
54,13.0
55,6.0
56,20.0
57,10.0
58,1.0
59,12.0
60,8.0
61,4.0
62,2.0
63,0.0
64,3.0
65,14.0
66,7.0
67,13.0
68,6.0
69,2.0
70,4.0
71,1.0
72,2.0
73,4.0
74,2.0
75,8.0
76,10.0
77,3.0
78,0.0
79,13.0
80,10.0
81,0.0
82,2.0
83,2.0
84,18.0
85,0.0
86,0.0
87,7.0
88,15.0
89,9.0
90,3.0
91,1.0
92,2.0
93,2.0
94,0.0
95,7.0
96,2.0
97,0.0
98,10.0
99,0.0
100,2.0
101,2.0
102,6.0
103,3.0
104,8.0
105,1.0
106,1.0
107,12.0
108,0.0
109,9.0
110,2.0
111,0.0
112,12.0
113,3.0
114,8.0
115,10.0
116,6.0
117,0.0
118,3.0
119,9.0
120,6.0
121,8.0
122,3.0
123,6.0
124,2.0
125,2.0
126,0.0
127,4.0
128,1.0
129,2.0
130,5.0
131,4.0
132,1.0
133,2.0
134,4.0
135,28.0
136,0.0
137,5.0
138,0.0
139,3.0
140,1.0
141,4.0
142,6.0
143,5.0
144,0.0
145,4.0
146,22.0
147,1.0
148,4.0
149,5.0
150,1.0
151,3.0
152,16.0
153,5.0
154,0.0
155,5.0
156,2.0
157,3.0
158,1.0
159,1.0
160,2.0
161,7.0
162,0.0
163,16.0
164,1.0
165,2.0
166,4.0
167,0.0
168,15.0
169,0.0
170,1.0
171,0.0
172,1.0
173,4.0
174,5.0
175,6.0
176,3.0
177,2.0
178,5.0
179,2.0
180,2.0
181,3.0
182,5.0
183,1.0
184,6.0
185,0.0
186,2.0
187,4.0
188,5.0
189,4.0
190,2.0
191,4.0
192,2.0
193,5.0
194,4.0
195,0.0
196,2.0
197,1.0
198,5.0
199,0.0
200,27.0
201,1.0
202,12.0
203,2.0
204,0.0
205,2.0
206,2.0
207,4.0
208,2.0
209,0.0
210,3.0
211,7.0
212,18.0
213,4.0
214,5.0
215,0.0
216,0.0
217,0.0
218,0.0
219,3.0
220,1.0
221,8.0
222,4.0
223,0.0
224,0.0
225,2.0
226,2.0
227,1.0
228,8.0
229,2.0
230,1.0
231,6.0
232,4.0
233,2.0
234,8.0
235,0.0
236,2.0
237,0.0
238,1.0
239,0.0
240,2.0
241,3.0
242,3.0
243,0.0
244,1.0
245,4.0
246,0.0
247,6.0
248,3.0
249,5.0
250,0.0
251,5.0
252,8.0
253,5.0
254,7.0
255,13.0
256,0.0
257,1.0
258,3.0
259,9.0
260,5.0
261,3.0
262,4.0
263,7.0
264,4.0
265,4.0
266,4.0
267,2.0
268,1.0
269,1.0
270,0.0
271,0.0
272,1.0
273,1.0
274,1.0
275,1.0
276,6.0
277,2.0
278,4.0
279,6.0
280,6.0
281,12.0
282,2.0
283,2.0
284,3.0
285,3.0
286,1.0
287,0.0
288,0.0
289,5.0
290,0.0
291,5.0
292,3.0
293,2.0
294,6.0
295,3.0
296,0.0
297,0.0
298,1.0
299,2.0
300,5.0
301,4.0
302,0.0
303,3.0
304,6.0
305,11.0
306,2.0
307,2.0
308,2.0
309,3.0
310,2.0
311,6.0
312,0.0
313,1.0
314,6.0
315,3.0
316,0.0
317,3.0
318,4.0
319,0.0
320,3.0
321,0.0
322,11.0
323,11.0
324,15.0
325,7.0
326,0.0
327,5.0
328,1.0
329,4.0
330,1.0
331,3.0
332,1.0
333,1.0
334,7.0
335,19.0
336,1.0
337,2.0
338,3.0
339,1.0
340,3.0
341,3.0
342,0.0
343,0.0
344,2.0
345,3.0
346,4.0
347,3.0
348,1.0
349,6.0
350,1.0
351,20.0
352,6.0
353,5.0
354,3.0
355,4.0
356,0.0
357,1.0
358,2.0
359,2.0
360,6.0
361,5.0
362,1.0
363,17.0
364,6.0
365,5.0
366,5.0
367,2.0
368,4.0
369,8.0
370,1.0
371,5.0
372,3.0
373,3.0
374,4.0
375,2.0
376,2.0
377,6.0
378,2.0
379,4.0
380,22.0
381,4.0
382,1.0
383,11.0
384,14.0
385,2.0
386,3.0
387,0.0
388,3.0
389,0.0
390,0.0
391,3.0
392,0.0
393,4.0
394,8.0
395,3.0
396,2.0
397,1.0
398,3.0
399,4.0
400,2.0
401,0.0
402,7.0
403,0.0
404,4.0
405,3.0
406,2.0
407,8.0
408,2.0
409,0.0
410,1.0
411,3.0
412,6.0
413,0.0
414,7.0
415,1.0
416,2.0
417,4.0
418,2.0
419,2.0
420,1.0
421,1.0
422,2.0
423,5.0
424,12.0
425,4.0
426,8.0
427,0.0
428,0.0
429,0.0
430,5.0
431,5.0
432,2.0
433,4.0
434,1.0
435,0.0
436,3.0
437,1.0
438,10.0
439,0.0
440,2.0
441,3.0
442,0.0
443,6.0
444,9.0
445,3.0
446,1.0
447,8.0
448,7.0
449,5.0
450,4.0
451,5.0
452,11.0
453,2.0
454,0.0
455,3.0
456,0.0
457,0.0
458,0.0
459,2.0
460,4.0
461,3.0
462,1.0
463,6.0
464,4.0
465,2.0
466,5.0
467,2.0
468,1.0
469,3.0
470,3.0
471,6.0
472,0.0
473,6.0
474,2.0
475,0.0
476,0.0
477,2.0
478,0.0
479,4.0
480,3.0
481,4.0
482,1.0
483,3.0
484,1.0
485,0.0
486,3.0
487,1.0
488,0.0
489,6.0
490,2.0
491,4.0
492,1.0
493,2.0
494,0.0
495,4.0
496,2.0
497,2.0
498,2.0
499,0.0
500,1.0
501,3.0
502,4.0
503,4.0
504,5.0
505,3.0
506,4.0
507,1.0
508,0.0
509,0.0
510,1.0
511,0.0
512,3.0
513,14.0
514,1.0
515,0.0
516,2.0
517,7.0
518,1.0
519,5.0
520,3.0
521,8.0
522,19.0
523,4.0
524,0.0
525,1.0
526,0.0
527,1.0
528,2.0
529,1.0
530,7.0
531,0.0
532,5.0
533,6.0
534,3.0
535,8.0
536,1.0
537,5.0
538,3.0
539,2.0
540,2.0
541,18.0
542,4.0
543,7.0
544,7.0
545,1.0
546,3.0
547,1.0
548,10.0
549,0.0
550,5.0
551,3.0
552,10.0
553,2.0
554,0.0
555,0.0
556,1.0
557,7.0
558,1.0
559,0.0
560,0.0
561,3.0
562,3.0
563,10.0
564,1.0
565,2.0
566,3.0
567,4.0
568,0.0
569,1.0
570,2.0
571,5.0
572,3.0
573,4.0
574,2.0
575,3.0
576,1.0
577,8.0
578,1.0
579,1.0
580,0.0
581,0.0
582,2.0
583,3.0
584,0.0
585,6.0
586,2.0
587,2.0
588,6.0
589,0.0
590,2.0
591,3.0
592,6.0
593,2.0
594,4.0
595,1.0
596,0.0
597,0.0
598,3.0
599,1.0
600,0.0
601,2.0
602,6.0
603,3.0
604,4.0
605,4.0
606,13.0
607,12.0
608,4.0
609,10.0
610,3.0
611,4.0
612,0.0
613,2.0
614,3.0
615,2.0
616,0.0
617,0.0
618,19.0
619,3.0
620,0.0
621,0.0
622,2.0
623,17.0
624,1.0
625,0.0
626,2.0
627,2.0
628,4.0
629,0.0
630,0.0
631,2.0
632,0.0
633,3.0
634,9.0
635,5.0
636,1.0
637,1.0
638,17.0
