,Ntsr2
0,0.0
1,0.0
2,0.0
3,2.0
4,2.0
5,15.0
6,23.0
7,42.0
8,0.0
9,8.0
10,2.0
11,1.0
12,1.0
13,4.0
14,40.0
15,2.0
16,25.0
17,0.0
18,2.0
19,23.0
20,13.0
21,2.0
22,31.0
23,8.0
24,46.0
25,8.0
26,33.0
27,0.0
28,1.0
29,32.0
30,4.0
31,5.0
32,6.0
33,5.0
34,0.0
35,10.0
36,0.0
37,0.0
38,4.0
39,34.0
40,69.0
41,3.0
42,4.0
43,0.0
44,2.0
45,0.0
46,1.0
47,2.0
48,4.0
49,2.0
50,19.0
51,1.0
52,0.0
53,2.0
54,11.0
55,70.0
56,45.0
57,0.0
58,4.0
59,85.0
60,72.0
61,47.0
62,0.0
63,13.0
64,1.0
65,66.0
66,19.0
67,46.0
68,23.0
69,0.0
70,2.0
71,3.0
72,4.0
73,9.0
74,0.0
75,15.0
76,26.0
77,2.0
78,2.0
79,1.0
80,20.0
81,0.0
82,1.0
83,0.0
84,54.0
85,0.0
86,0.0
87,26.0
88,33.0
89,25.0
90,2.0
91,0.0
92,1.0
93,1.0
94,0.0
95,53.0
96,7.0
97,0.0
98,26.0
99,0.0
100,7.0
101,2.0
102,26.0
103,0.0
104,1.0
105,0.0
106,5.0
107,41.0
108,2.0
109,14.0
110,1.0
111,1.0
112,27.0
113,1.0
114,24.0
115,43.0
116,2.0
117,0.0
118,1.0
119,1.0
120,34.0
121,24.0
122,11.0
123,2.0
124,6.0
125,5.0
126,4.0
127,0.0
128,0.0
129,2.0
130,1.0
131,2.0
132,2.0
133,0.0
134,0.0
135,33.0
136,0.0
137,12.0
138,0.0
139,2.0
140,0.0
141,4.0
142,2.0
143,0.0
144,0.0
145,0.0
146,43.0
147,0.0
148,24.0
149,2.0
150,0.0
151,1.0
152,10.0
153,0.0
154,0.0
155,2.0
156,8.0
157,0.0
158,0.0
159,1.0
160,0.0
161,10.0
162,0.0
163,31.0
164,0.0
165,0.0
166,9.0
167,0.0
168,31.0
169,0.0
170,0.0
171,2.0
172,0.0
173,2.0
174,0.0
175,2.0
176,1.0
177,1.0
178,6.0
179,0.0
180,0.0
181,0.0
182,8.0
183,1.0
184,0.0
185,1.0
186,1.0
187,0.0
188,0.0
189,8.0
190,3.0
191,4.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,39.0
201,0.0
202,25.0
203,1.0
204,0.0
205,0.0
206,0.0
207,1.0
208,1.0
209,0.0
210,2.0
211,3.0
212,26.0
213,1.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,1.0
220,2.0
221,11.0
222,1.0
223,0.0
224,0.0
225,1.0
226,2.0
227,0.0
228,2.0
229,0.0
230,1.0
231,1.0
232,1.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,1.0
239,0.0
240,0.0
241,1.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,6.0
248,1.0
249,4.0
250,0.0
251,4.0
252,2.0
253,1.0
254,14.0
255,19.0
256,0.0
257,0.0
258,0.0
259,26.0
260,2.0
261,0.0
262,1.0
263,8.0
264,2.0
265,0.0
266,1.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,1.0
273,4.0
274,0.0
275,0.0
276,3.0
277,0.0
278,1.0
279,1.0
280,2.0
281,16.0
282,0.0
283,0.0
284,0.0
285,0.0
286,1.0
287,1.0
288,0.0
289,0.0
290,0.0
291,17.0
292,0.0
293,0.0
294,1.0
295,0.0
296,0.0
297,0.0
298,0.0
299,2.0
300,1.0
301,0.0
302,0.0
303,0.0
304,7.0
305,2.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,1.0
314,12.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,8.0
324,10.0
325,5.0
326,1.0
327,1.0
328,0.0
329,2.0
330,0.0
331,0.0
332,0.0
333,0.0
334,2.0
335,15.0
336,0.0
337,0.0
338,1.0
339,0.0
340,1.0
341,1.0
342,0.0
343,1.0
344,0.0
345,0.0
346,3.0
347,0.0
348,0.0
349,0.0
350,0.0
351,21.0
352,0.0
353,1.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,1.0
360,1.0
361,0.0
362,1.0
363,11.0
364,1.0
365,0.0
366,2.0
367,0.0
368,1.0
369,2.0
370,0.0
371,0.0
372,2.0
373,2.0
374,0.0
375,0.0
376,0.0
377,1.0
378,2.0
379,0.0
380,18.0
381,0.0
382,0.0
383,7.0
384,27.0
385,0.0
386,3.0
387,0.0
388,0.0
389,0.0
390,0.0
391,6.0
392,0.0
393,0.0
394,3.0
395,3.0
396,1.0
397,0.0
398,1.0
399,0.0
400,0.0
401,1.0
402,0.0
403,0.0
404,3.0
405,1.0
406,0.0
407,0.0
408,1.0
409,0.0
410,0.0
411,0.0
412,1.0
413,0.0
414,1.0
415,0.0
416,1.0
417,1.0
418,0.0
419,7.0
420,1.0
421,1.0
422,0.0
423,15.0
424,27.0
425,12.0
426,0.0
427,0.0
428,1.0
429,0.0
430,1.0
431,0.0
432,0.0
433,0.0
434,2.0
435,0.0
436,0.0
437,1.0
438,6.0
439,0.0
440,0.0
441,1.0
442,1.0
443,13.0
444,1.0
445,0.0
446,0.0
447,0.0
448,22.0
449,0.0
450,2.0
451,12.0
452,8.0
453,1.0
454,0.0
455,2.0
456,0.0
457,0.0
458,0.0
459,2.0
460,5.0
461,1.0
462,0.0
463,1.0
464,0.0
465,0.0
466,0.0
467,1.0
468,0.0
469,0.0
470,0.0
471,1.0
472,0.0
473,20.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,1.0
480,1.0
481,0.0
482,0.0
483,1.0
484,0.0
485,1.0
486,0.0
487,0.0
488,0.0
489,8.0
490,0.0
491,2.0
492,0.0
493,0.0
494,0.0
495,1.0
496,0.0
497,0.0
498,0.0
499,1.0
500,0.0
501,1.0
502,0.0
503,1.0
504,1.0
505,1.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,1.0
514,0.0
515,0.0
516,0.0
517,12.0
518,0.0
519,7.0
520,1.0
521,9.0
522,29.0
523,12.0
524,0.0
525,0.0
526,1.0
527,0.0
528,1.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,2.0
535,10.0
536,0.0
537,0.0
538,0.0
539,1.0
540,0.0
541,35.0
542,0.0
543,12.0
544,1.0
545,0.0
546,0.0
547,0.0
548,3.0
549,0.0
550,1.0
551,0.0
552,0.0
553,1.0
554,0.0
555,0.0
556,1.0
557,2.0
558,1.0
559,0.0
560,0.0
561,1.0
562,0.0
563,7.0
564,0.0
565,0.0
566,9.0
567,0.0
568,0.0
569,0.0
570,3.0
571,2.0
