,Ryk
0,1.0
1,1.0
2,0.0
3,0.0
4,5.0
5,2.0
6,4.0
7,2.0
8,8.0
9,0.0
10,2.0
11,0.0
12,0.0
13,1.0
14,4.0
15,0.0
16,3.0
17,1.0
18,1.0
19,3.0
20,3.0
21,0.0
22,3.0
23,1.0
24,5.0
25,0.0
26,3.0
27,1.0
28,2.0
29,3.0
30,1.0
31,4.0
32,4.0
33,0.0
34,0.0
35,5.0
36,1.0
37,4.0
38,0.0
39,4.0
40,3.0
41,1.0
42,0.0
43,0.0
44,3.0
45,2.0
46,0.0
47,1.0
48,2.0
49,3.0
50,3.0
51,3.0
52,1.0
53,2.0
54,4.0
55,3.0
56,1.0
57,1.0
58,0.0
59,1.0
60,4.0
61,1.0
62,2.0
63,0.0
64,1.0
65,2.0
66,2.0
67,3.0
68,2.0
69,3.0
70,1.0
71,2.0
72,0.0
73,2.0
74,4.0
75,0.0
76,1.0
77,1.0
78,0.0
79,4.0
80,2.0
81,0.0
82,2.0
83,1.0
84,3.0
85,0.0
86,2.0
87,2.0
88,1.0
89,3.0
90,0.0
91,2.0
92,2.0
93,1.0
94,0.0
95,3.0
96,1.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,3.0
103,6.0
104,0.0
105,0.0
106,0.0
107,7.0
108,2.0
109,1.0
110,3.0
111,0.0
112,0.0
113,1.0
114,2.0
115,0.0
116,1.0
117,1.0
118,0.0
119,2.0
120,0.0
121,1.0
122,0.0
123,1.0
124,4.0
125,1.0
126,0.0
127,4.0
128,1.0
129,1.0
130,1.0
131,3.0
132,1.0
133,0.0
134,7.0
135,3.0
136,0.0
137,0.0
138,1.0
139,0.0
140,4.0
141,4.0
142,5.0
143,3.0
144,2.0
145,3.0
146,1.0
147,6.0
148,0.0
149,0.0
150,5.0
151,4.0
152,5.0
153,6.0
154,1.0
155,2.0
156,5.0
157,5.0
158,2.0
159,5.0
160,0.0
161,0.0
162,3.0
163,3.0
164,0.0
165,5.0
166,0.0
167,0.0
168,5.0
169,2.0
170,6.0
171,1.0
172,1.0
173,4.0
174,3.0
175,0.0
176,4.0
177,2.0
178,0.0
179,1.0
180,2.0
181,3.0
182,1.0
183,0.0
184,2.0
185,2.0
186,2.0
187,1.0
188,1.0
189,2.0
190,0.0
191,2.0
192,0.0
193,7.0
194,1.0
195,0.0
196,1.0
197,2.0
198,0.0
199,0.0
200,1.0
201,2.0
202,1.0
203,3.0
204,2.0
205,0.0
206,2.0
207,1.0
208,3.0
