,Sema4d
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,1.0
6,0.0
7,1.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,1.0
15,0.0
16,0.0
17,1.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,1.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,2.0
37,0.0
38,0.0
39,0.0
40,3.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,1.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,1.0
61,0.0
62,0.0
63,0.0
64,2.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,4.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,1.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,1.0
89,1.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,1.0
100,0.0
101,0.0
102,0.0
103,4.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,1.0
118,0.0
119,0.0
120,0.0
121,1.0
122,0.0
123,0.0
124,1.0
125,0.0
126,0.0
127,1.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,1.0
138,0.0
139,0.0
140,0.0
141,3.0
142,4.0
143,4.0
144,0.0
145,1.0
146,0.0
147,0.0
148,0.0
149,0.0
150,6.0
151,1.0
152,1.0
153,5.0
154,0.0
155,3.0
156,1.0
157,1.0
158,1.0
159,3.0
160,0.0
161,0.0
162,2.0
163,0.0
164,0.0
165,2.0
166,0.0
167,0.0
168,1.0
169,0.0
170,2.0
171,0.0
172,1.0
173,3.0
174,1.0
175,0.0
176,2.0
177,0.0
178,0.0
179,1.0
180,4.0
181,2.0
182,0.0
183,0.0
184,1.0
185,1.0
186,1.0
187,1.0
188,2.0
189,1.0
190,0.0
191,0.0
192,0.0
193,5.0
194,2.0
195,0.0
196,0.0
197,0.0
198,0.0
199,3.0
200,0.0
201,0.0
202,0.0
203,3.0
204,0.0
205,0.0
206,0.0
207,1.0
208,2.0
209,0.0
210,0.0
211,3.0
212,0.0
213,0.0
214,0.0
215,2.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,1.0
222,2.0
223,1.0
224,0.0
225,2.0
226,0.0
227,0.0
228,1.0
229,0.0
230,0.0
231,3.0
232,3.0
233,4.0
234,1.0
235,0.0
236,0.0
237,1.0
238,4.0
239,0.0
240,2.0
241,0.0
242,3.0
243,0.0
244,4.0
245,0.0
246,0.0
247,0.0
248,1.0
249,3.0
250,1.0
251,5.0
252,1.0
253,0.0
254,0.0
255,0.0
256,0.0
257,2.0
258,3.0
259,1.0
260,0.0
261,2.0
262,3.0
263,0.0
264,2.0
265,1.0
266,2.0
267,2.0
268,0.0
269,2.0
270,0.0
271,0.0
272,0.0
273,2.0
274,1.0
275,3.0
276,0.0
277,1.0
278,4.0
279,2.0
280,2.0
281,1.0
282,4.0
283,2.0
284,2.0
285,1.0
286,0.0
287,1.0
288,0.0
289,2.0
290,0.0
291,0.0
292,1.0
293,4.0
294,1.0
295,3.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,2.0
302,0.0
303,0.0
304,1.0
305,0.0
306,1.0
307,2.0
308,1.0
309,0.0
310,4.0
311,0.0
312,4.0
313,0.0
314,5.0
315,2.0
316,0.0
317,1.0
318,2.0
319,0.0
320,0.0
321,3.0
322,0.0
323,1.0
324,1.0
325,0.0
326,1.0
327,0.0
328,0.0
329,0.0
330,2.0
331,2.0
332,2.0
333,4.0
334,2.0
335,0.0
336,0.0
337,0.0
338,2.0
339,0.0
340,1.0
341,3.0
342,0.0
343,2.0
344,0.0
345,2.0
346,0.0
347,0.0
348,0.0
349,4.0
350,0.0
351,0.0
352,4.0
353,3.0
354,0.0
355,3.0
356,2.0
357,2.0
358,0.0
359,3.0
360,2.0
361,1.0
362,1.0
363,3.0
364,0.0
365,4.0
366,1.0
367,3.0
368,1.0
369,0.0
370,0.0
371,3.0
372,0.0
373,2.0
374,3.0
375,0.0
376,5.0
377,3.0
378,1.0
379,3.0
380,1.0
381,4.0
382,0.0
383,0.0
384,0.0
385,0.0
386,2.0
387,0.0
388,0.0
389,1.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,3.0
396,1.0
397,3.0
398,0.0
399,2.0
400,1.0
401,0.0
402,1.0
403,0.0
404,2.0
405,0.0
406,2.0
407,0.0
408,4.0
409,1.0
410,0.0
411,2.0
412,0.0
413,1.0
414,4.0
415,0.0
416,0.0
417,2.0
418,1.0
419,0.0
420,1.0
421,2.0
422,1.0
423,0.0
424,2.0
425,0.0
426,3.0
427,1.0
428,0.0
429,3.0
430,0.0
431,1.0
432,1.0
433,1.0
434,3.0
435,0.0
436,3.0
437,2.0
438,4.0
439,0.0
440,1.0
441,1.0
442,0.0
443,0.0
444,2.0
445,2.0
446,3.0
447,2.0
448,0.0
449,0.0
450,2.0
451,0.0
452,1.0
453,0.0
454,0.0
455,2.0
456,0.0
457,0.0
458,0.0
459,1.0
460,0.0
461,2.0
462,0.0
463,2.0
464,1.0
465,0.0
466,1.0
467,2.0
468,2.0
469,1.0
470,2.0
471,3.0
472,1.0
473,0.0
474,3.0
475,0.0
476,0.0
477,1.0
478,0.0
479,3.0
480,4.0
481,1.0
482,1.0
483,2.0
484,1.0
485,0.0
486,0.0
487,1.0
488,0.0
489,0.0
490,1.0
491,1.0
492,0.0
493,1.0
494,3.0
495,2.0
496,1.0
497,0.0
498,0.0
499,2.0
500,0.0
501,2.0
502,0.0
503,3.0
504,1.0
505,2.0
506,1.0
507,0.0
508,1.0
509,0.0
510,2.0
511,0.0
512,5.0
513,0.0
514,0.0
515,0.0
516,3.0
517,0.0
518,0.0
519,0.0
520,3.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,2.0
528,0.0
529,0.0
530,1.0
531,0.0
532,5.0
533,2.0
534,0.0
535,0.0
536,1.0
537,3.0
538,1.0
539,1.0
540,0.0
541,0.0
542,0.0
543,0.0
544,3.0
545,7.0
546,4.0
547,0.0
548,0.0
549,0.0
550,3.0
551,5.0
552,0.0
553,3.0
554,2.0
555,1.0
556,2.0
557,1.0
558,0.0
559,0.0
560,0.0
561,2.0
562,1.0
563,1.0
564,2.0
565,2.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
