,Slc17a7
0,0.0
1,0.0
2,0.0
3,1.0
4,0.0
5,2.0
6,1.0
7,3.0
8,0.0
9,1.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,1.0
19,2.0
20,1.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,2.0
27,1.0
28,0.0
29,0.0
30,0.0
31,1.0
32,1.0
33,2.0
34,1.0
35,0.0
36,0.0
37,1.0
38,1.0
39,0.0
40,0.0
41,0.0
42,2.0
43,0.0
44,1.0
45,1.0
46,2.0
47,0.0
48,0.0
49,0.0
50,0.0
51,1.0
52,1.0
53,2.0
54,2.0
55,1.0
56,1.0
57,0.0
58,0.0
59,2.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,1.0
67,0.0
68,2.0
69,1.0
70,1.0
71,1.0
72,3.0
73,1.0
74,0.0
75,0.0
76,2.0
77,0.0
78,2.0
79,1.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,1.0
89,0.0
90,5.0
91,0.0
92,0.0
93,0.0
94,2.0
95,2.0
96,4.0
97,0.0
98,0.0
99,1.0
100,0.0
101,0.0
102,2.0
103,1.0
104,2.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,3.0
112,0.0
113,1.0
114,1.0
115,0.0
116,0.0
117,3.0
118,1.0
119,3.0
120,1.0
121,4.0
122,4.0
123,0.0
124,0.0
125,0.0
126,0.0
127,1.0
128,0.0
129,0.0
130,0.0
131,2.0
132,0.0
133,9.0
134,65.0
135,0.0
136,9.0
137,1.0
138,2.0
139,2.0
140,2.0
141,107.0
142,59.0
143,62.0
144,0.0
145,60.0
146,0.0
147,0.0
148,1.0
149,0.0
150,61.0
151,0.0
152,6.0
153,91.0
154,17.0
155,68.0
156,44.0
157,60.0
158,32.0
159,80.0
160,12.0
161,1.0
162,18.0
163,1.0
164,1.0
165,42.0
166,1.0
167,8.0
168,85.0
169,1.0
170,58.0
171,3.0
172,13.0
173,69.0
174,85.0
175,0.0
176,73.0
177,0.0
178,3.0
179,41.0
180,6.0
181,67.0
182,2.0
183,0.0
184,70.0
185,11.0
186,1.0
187,3.0
188,97.0
189,3.0
190,0.0
191,1.0
192,5.0
193,77.0
194,3.0
195,11.0
196,10.0
197,2.0
198,18.0
199,21.0
200,1.0
201,34.0
202,1.0
203,139.0
204,3.0
205,1.0
206,1.0
207,82.0
208,38.0
209,19.0
210,0.0
211,81.0
212,1.0
213,25.0
214,0.0
215,8.0
216,9.0
217,19.0
218,54.0
219,0.0
220,65.0
221,5.0
222,69.0
223,0.0
224,0.0
225,59.0
226,0.0
227,4.0
228,47.0
229,41.0
230,12.0
231,70.0
232,34.0
233,68.0
234,4.0
235,26.0
236,8.0
237,22.0
238,104.0
239,12.0
240,103.0
241,1.0
242,61.0
243,0.0
244,57.0
245,2.0
246,0.0
247,2.0
248,14.0
249,61.0
250,2.0
251,3.0
252,1.0
253,7.0
254,7.0
255,6.0
256,0.0
257,31.0
258,33.0
259,0.0
260,62.0
261,43.0
262,128.0
263,1.0
264,66.0
265,22.0
266,5.0
267,56.0
268,26.0
269,38.0
270,3.0
271,2.0
272,18.0
273,41.0
274,75.0
275,73.0
276,5.0
277,87.0
278,49.0
279,60.0
280,84.0
281,12.0
282,85.0
283,29.0
284,50.0
285,74.0
286,5.0
287,22.0
288,15.0
289,46.0
290,9.0
291,0.0
292,38.0
293,54.0
294,39.0
295,61.0
296,16.0
297,4.0
298,12.0
299,4.0
300,1.0
301,23.0
302,8.0
303,37.0
304,7.0
305,5.0
306,16.0
307,44.0
308,0.0
309,3.0
310,78.0
311,5.0
312,78.0
313,1.0
314,192.0
315,15.0
316,0.0
317,27.0
318,92.0
319,4.0
320,54.0
321,136.0
322,5.0
323,28.0
324,2.0
325,0.0
326,54.0
327,3.0
328,8.0
329,2.0
330,52.0
331,63.0
332,14.0
333,51.0
334,42.0
335,2.0
336,3.0
337,0.0
338,51.0
339,22.0
340,51.0
341,72.0
342,3.0
343,18.0
344,0.0
345,1.0
346,2.0
347,11.0
348,5.0
349,14.0
350,4.0
351,0.0
352,68.0
353,82.0
354,7.0
355,144.0
356,31.0
357,46.0
358,36.0
359,62.0
360,72.0
361,51.0
362,35.0
363,110.0
364,6.0
365,140.0
366,7.0
367,43.0
368,88.0
369,31.0
370,10.0
371,76.0
372,1.0
373,35.0
374,33.0
375,10.0
376,93.0
377,89.0
378,43.0
379,92.0
380,1.0
381,91.0
382,3.0
383,5.0
384,14.0
385,37.0
386,85.0
387,1.0
388,12.0
389,52.0
390,8.0
391,2.0
392,1.0
393,1.0
394,96.0
395,58.0
396,1.0
397,80.0
398,1.0
399,0.0
400,53.0
401,3.0
402,82.0
403,9.0
404,1.0
405,2.0
406,49.0
407,16.0
408,48.0
409,5.0
410,0.0
411,27.0
412,0.0
413,15.0
414,62.0
415,44.0
416,14.0
417,35.0
418,9.0
419,1.0
420,27.0
421,36.0
422,42.0
423,0.0
424,2.0
425,0.0
426,68.0
427,19.0
428,26.0
429,73.0
430,0.0
431,75.0
432,5.0
433,3.0
434,81.0
435,6.0
436,45.0
437,24.0
438,2.0
439,7.0
440,49.0
441,32.0
442,2.0
443,0.0
444,89.0
445,26.0
446,56.0
447,71.0
448,4.0
449,1.0
450,57.0
451,0.0
452,3.0
453,3.0
454,1.0
455,3.0
456,5.0
457,12.0
458,4.0
459,5.0
460,59.0
461,131.0
462,12.0
463,93.0
464,32.0
465,43.0
466,0.0
467,86.0
468,27.0
469,1.0
470,42.0
471,38.0
472,48.0
473,10.0
474,57.0
475,1.0
476,25.0
477,31.0
478,16.0
479,45.0
480,56.0
481,79.0
482,33.0
483,4.0
484,47.0
485,0.0
486,4.0
487,8.0
488,16.0
489,3.0
490,62.0
491,43.0
492,1.0
493,75.0
494,140.0
495,97.0
496,50.0
497,6.0
498,38.0
499,39.0
500,11.0
501,62.0
502,2.0
503,97.0
504,0.0
505,101.0
506,120.0
507,3.0
508,20.0
509,0.0
510,18.0
511,0.0
512,76.0
513,2.0
514,4.0
515,0.0
516,97.0
517,1.0
518,99.0
519,0.0
520,84.0
521,1.0
522,0.0
523,16.0
524,10.0
525,25.0
526,4.0
527,31.0
528,87.0
529,0.0
530,3.0
531,16.0
532,56.0
533,68.0
534,58.0
535,1.0
536,49.0
537,65.0
538,15.0
539,6.0
540,9.0
541,1.0
542,26.0
543,2.0
544,86.0
545,66.0
546,86.0
547,0.0
548,2.0
549,2.0
550,80.0
551,37.0
552,65.0
553,56.0
554,80.0
555,53.0
556,55.0
557,40.0
558,9.0
559,2.0
560,4.0
561,78.0
562,75.0
563,63.0
564,30.0
565,55.0
566,3.0
567,22.0
568,12.0
569,28.0
570,3.0
571,19.0
