,Syt4
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,2.0
35,0.0
36,3.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,7.0
65,0.0
66,0.0
67,0.0
68,0.0
69,3.0
70,0.0
71,0.0
72,0.0
73,0.0
74,2.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,3.0
81,1.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,1.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,17.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,1.0
115,1.0
116,0.0
117,18.0
118,0.0
119,1.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,20.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,6.0
134,15.0
135,0.0
136,1.0
137,0.0
138,0.0
139,0.0
140,1.0
141,44.0
142,16.0
143,21.0
144,0.0
145,8.0
146,0.0
147,0.0
148,0.0
149,0.0
150,23.0
151,0.0
152,0.0
153,16.0
154,5.0
155,41.0
156,16.0
157,20.0
158,15.0
159,21.0
160,2.0
161,0.0
162,6.0
163,0.0
164,0.0
165,11.0
166,0.0
167,5.0
168,16.0
169,0.0
170,10.0
171,0.0
172,4.0
173,29.0
174,18.0
175,0.0
176,17.0
177,0.0
178,0.0
179,13.0
180,3.0
181,16.0
182,0.0
183,0.0
184,12.0
185,5.0
186,21.0
187,0.0
188,23.0
189,0.0
190,0.0
191,0.0
192,0.0
193,27.0
194,4.0
195,2.0
196,4.0
197,0.0
198,1.0
199,3.0
200,0.0
201,6.0
202,0.0
203,38.0
204,0.0
205,0.0
206,5.0
207,18.0
208,16.0
209,2.0
210,1.0
211,12.0
212,0.0
213,6.0
214,2.0
215,2.0
216,3.0
217,4.0
218,20.0
219,1.0
220,9.0
221,0.0
222,19.0
223,2.0
224,1.0
225,9.0
226,0.0
227,4.0
228,14.0
229,9.0
230,2.0
231,25.0
232,9.0
233,29.0
234,1.0
235,12.0
236,3.0
237,3.0
238,36.0
239,6.0
240,25.0
241,1.0
242,27.0
243,0.0
244,20.0
245,0.0
246,0.0
247,0.0
248,3.0
249,15.0
250,1.0
251,7.0
252,1.0
253,2.0
254,0.0
255,0.0
256,1.0
257,7.0
258,15.0
259,1.0
260,17.0
261,14.0
262,31.0
263,0.0
264,11.0
265,4.0
266,5.0
267,15.0
268,8.0
269,13.0
270,1.0
271,2.0
272,1.0
273,20.0
274,30.0
275,17.0
276,0.0
277,31.0
278,15.0
279,18.0
280,24.0
281,3.0
282,25.0
283,7.0
284,25.0
285,29.0
286,6.0
287,5.0
288,4.0
289,16.0
290,2.0
291,0.0
292,16.0
293,16.0
294,9.0
295,25.0
296,2.0
297,0.0
298,6.0
299,2.0
300,0.0
301,13.0
302,3.0
303,9.0
304,0.0
305,1.0
306,6.0
307,18.0
308,1.0
309,0.0
310,19.0
311,0.0
312,20.0
313,0.0
314,43.0
315,6.0
316,1.0
317,4.0
318,25.0
319,3.0
320,15.0
321,29.0
322,1.0
323,8.0
324,0.0
325,6.0
326,8.0
327,0.0
328,3.0
329,1.0
330,20.0
331,35.0
332,9.0
333,6.0
334,9.0
335,0.0
336,1.0
337,0.0
338,17.0
339,10.0
340,19.0
341,13.0
342,0.0
343,5.0
344,0.0
345,0.0
346,0.0
347,0.0
348,3.0
349,8.0
350,2.0
351,0.0
352,31.0
353,17.0
354,3.0
355,33.0
356,10.0
357,11.0
358,8.0
359,14.0
360,22.0
361,16.0
362,5.0
363,31.0
364,0.0
365,20.0
366,0.0
367,4.0
368,36.0
369,5.0
370,2.0
371,24.0
372,0.0
373,11.0
374,13.0
375,7.0
376,28.0
377,28.0
378,11.0
379,28.0
380,0.0
381,24.0
382,2.0
383,0.0
384,6.0
385,6.0
386,18.0
387,0.0
388,2.0
389,6.0
390,0.0
391,0.0
392,0.0
393,1.0
394,29.0
395,15.0
396,0.0
397,21.0
398,0.0
399,7.0
400,27.0
401,0.0
402,5.0
403,2.0
404,11.0
405,0.0
406,19.0
407,5.0
408,16.0
409,2.0
410,0.0
411,7.0
412,0.0
413,2.0
414,31.0
415,26.0
416,6.0
417,14.0
418,5.0
419,0.0
420,6.0
421,4.0
422,3.0
423,0.0
424,0.0
425,0.0
426,22.0
427,7.0
428,5.0
429,31.0
430,0.0
431,19.0
432,4.0
433,4.0
434,34.0
435,4.0
436,17.0
437,4.0
438,8.0
439,0.0
440,13.0
441,11.0
442,0.0
443,0.0
444,37.0
445,10.0
446,19.0
447,34.0
448,0.0
449,0.0
450,22.0
451,0.0
452,0.0
453,0.0
454,0.0
455,3.0
456,1.0
457,3.0
458,3.0
459,1.0
460,12.0
461,32.0
462,5.0
463,18.0
464,19.0
465,16.0
466,0.0
467,24.0
468,11.0
469,5.0
470,20.0
471,12.0
472,13.0
473,5.0
474,11.0
475,0.0
476,10.0
477,12.0
478,2.0
479,12.0
480,21.0
481,17.0
482,14.0
483,2.0
484,6.0
485,0.0
486,1.0
487,10.0
488,5.0
489,0.0
490,13.0
491,28.0
492,0.0
493,34.0
494,25.0
495,44.0
496,14.0
497,0.0
498,15.0
499,15.0
500,2.0
501,5.0
502,6.0
503,32.0
504,1.0
505,54.0
506,27.0
507,0.0
508,4.0
509,0.0
510,10.0
511,0.0
512,15.0
513,0.0
514,0.0
515,0.0
516,15.0
517,0.0
518,29.0
519,0.0
520,14.0
521,0.0
522,0.0
523,4.0
524,6.0
525,9.0
526,0.0
527,6.0
528,24.0
529,1.0
530,7.0
531,6.0
532,16.0
533,33.0
534,13.0
535,1.0
536,20.0
537,23.0
538,4.0
539,4.0
540,7.0
541,0.0
542,9.0
543,0.0
544,16.0
545,25.0
546,24.0
547,0.0
548,0.0
549,0.0
550,31.0
551,23.0
552,24.0
553,22.0
554,41.0
555,6.0
556,13.0
557,7.0
558,1.0
559,1.0
560,1.0
561,18.0
562,23.0
563,19.0
564,12.0
565,16.0
566,2.0
567,5.0
568,1.0
569,6.0
570,0.0
571,6.0
