,Tyro3
0,0.0
1,0.0
2,1.0
3,0.0
4,0.0
5,0.0
6,0.0
7,1.0
8,1.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,1.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,1.0
37,1.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,1.0
55,0.0
56,1.0
57,0.0
58,0.0
59,0.0
60,0.0
61,1.0
62,1.0
63,0.0
64,0.0
65,1.0
66,0.0
67,0.0
68,1.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,1.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,1.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,1.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,1.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,1.0
117,2.0
118,0.0
119,0.0
120,0.0
121,1.0
122,0.0
123,1.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,1.0
132,0.0
133,0.0
134,11.0
135,1.0
136,1.0
137,0.0
138,0.0
139,0.0
140,0.0
141,30.0
142,4.0
143,17.0
144,0.0
145,8.0
146,0.0
147,0.0
148,0.0
149,0.0
150,21.0
151,0.0
152,0.0
153,19.0
154,3.0
155,13.0
156,11.0
157,7.0
158,4.0
159,10.0
160,0.0
161,0.0
162,5.0
163,0.0
164,1.0
165,18.0
166,0.0
167,1.0
168,20.0
169,0.0
170,20.0
171,0.0
172,2.0
173,21.0
174,18.0
175,0.0
176,13.0
177,1.0
178,0.0
179,5.0
180,1.0
181,23.0
182,0.0
183,0.0
184,10.0
185,3.0
186,1.0
187,0.0
188,8.0
189,1.0
190,0.0
191,0.0
192,0.0
193,15.0
194,2.0
195,2.0
196,1.0
197,1.0
198,1.0
199,3.0
200,0.0
201,3.0
202,1.0
203,20.0
204,0.0
205,0.0
206,1.0
207,17.0
208,7.0
209,4.0
210,0.0
211,16.0
212,0.0
213,4.0
214,0.0
215,2.0
216,2.0
217,4.0
218,17.0
219,0.0
220,10.0
221,0.0
222,13.0
223,0.0
224,0.0
225,23.0
226,0.0
227,0.0
228,8.0
229,4.0
230,2.0
231,19.0
232,3.0
233,11.0
234,1.0
235,3.0
236,3.0
237,5.0
238,17.0
239,2.0
240,24.0
241,0.0
242,12.0
243,0.0
244,12.0
245,0.0
246,0.0
247,1.0
248,1.0
249,15.0
250,0.0
251,1.0
252,0.0
253,1.0
254,0.0
255,2.0
256,0.0
257,3.0
258,4.0
259,0.0
260,15.0
261,19.0
262,33.0
263,0.0
264,4.0
265,5.0
266,1.0
267,4.0
268,4.0
269,8.0
270,2.0
271,0.0
272,3.0
273,9.0
274,16.0
275,12.0
276,0.0
277,22.0
278,17.0
279,15.0
280,23.0
281,1.0
282,10.0
283,8.0
284,7.0
285,24.0
286,0.0
287,3.0
288,2.0
289,11.0
290,4.0
291,0.0
292,17.0
293,15.0
294,8.0
295,4.0
296,0.0
297,0.0
298,2.0
299,1.0
300,0.0
301,10.0
302,1.0
303,12.0
304,1.0
305,1.0
306,1.0
307,7.0
308,1.0
309,0.0
310,9.0
311,1.0
312,29.0
313,0.0
314,27.0
315,0.0
316,0.0
317,1.0
318,14.0
319,1.0
320,9.0
321,19.0
322,0.0
323,12.0
324,0.0
325,0.0
326,11.0
327,0.0
328,0.0
329,0.0
330,14.0
331,9.0
332,2.0
333,10.0
334,14.0
335,1.0
336,2.0
337,1.0
338,3.0
339,2.0
340,20.0
341,12.0
342,3.0
343,3.0
344,0.0
345,2.0
346,1.0
347,0.0
348,1.0
349,2.0
350,1.0
351,0.0
352,8.0
353,17.0
354,0.0
355,34.0
356,11.0
357,9.0
358,5.0
359,11.0
360,21.0
361,14.0
362,7.0
363,23.0
364,0.0
365,34.0
366,0.0
367,9.0
368,11.0
369,5.0
370,3.0
371,12.0
372,0.0
373,9.0
374,7.0
375,2.0
376,10.0
377,7.0
378,6.0
379,16.0
380,0.0
381,17.0
382,0.0
383,2.0
384,5.0
385,6.0
386,7.0
387,0.0
388,1.0
389,8.0
390,1.0
391,0.0
392,0.0
393,0.0
394,7.0
395,7.0
396,0.0
397,10.0
398,0.0
399,2.0
400,11.0
401,0.0
402,19.0
403,2.0
404,3.0
405,0.0
406,10.0
407,5.0
408,9.0
409,0.0
410,0.0
411,6.0
412,0.0
413,0.0
414,16.0
415,4.0
416,3.0
417,9.0
418,2.0
419,0.0
420,9.0
421,6.0
422,7.0
423,0.0
424,0.0
425,0.0
426,13.0
427,2.0
428,3.0
429,6.0
430,1.0
431,22.0
432,0.0
433,4.0
434,19.0
435,4.0
436,8.0
437,5.0
438,1.0
439,1.0
440,9.0
441,13.0
442,0.0
443,0.0
444,14.0
445,9.0
446,6.0
447,14.0
448,0.0
449,0.0
450,10.0
451,0.0
452,0.0
453,0.0
454,3.0
455,1.0
456,0.0
457,4.0
458,2.0
459,0.0
460,11.0
461,27.0
462,1.0
463,23.0
464,11.0
465,9.0
466,0.0
467,18.0
468,5.0
469,0.0
470,9.0
471,8.0
472,7.0
473,1.0
474,8.0
475,0.0
476,6.0
477,20.0
478,1.0
479,16.0
480,12.0
481,19.0
482,4.0
483,1.0
484,10.0
485,0.0
486,0.0
487,4.0
488,3.0
489,0.0
490,9.0
491,10.0
492,0.0
493,11.0
494,19.0
495,16.0
496,12.0
497,0.0
498,3.0
499,7.0
500,1.0
501,12.0
502,1.0
503,12.0
504,0.0
505,22.0
506,17.0
507,1.0
508,3.0
509,0.0
510,2.0
511,0.0
512,8.0
513,0.0
514,0.0
515,0.0
516,23.0
517,0.0
518,19.0
519,0.0
520,15.0
521,1.0
522,1.0
523,3.0
524,0.0
525,5.0
526,0.0
527,6.0
528,10.0
529,0.0
530,2.0
531,1.0
532,14.0
533,9.0
534,10.0
535,0.0
536,13.0
537,5.0
538,4.0
539,3.0
540,2.0
541,0.0
542,4.0
543,0.0
544,20.0
545,13.0
546,20.0
547,0.0
548,1.0
549,0.0
550,11.0
551,5.0
552,12.0
553,10.0
554,14.0
555,10.0
556,8.0
557,7.0
558,2.0
559,1.0
560,2.0
561,23.0
562,16.0
563,17.0
564,4.0
565,14.0
566,0.0
567,2.0
568,0.0
569,8.0
570,1.0
571,5.0
